Question ID,Questions (Source = Google),Questions (Source = John Hopkins),Question (Source = IDPH),Question (Source = UN),Question (Source = FDA),Question (Source = CNN),Question (Source = CDC),Question (Source = GitHub),Question (Source = WJLA),Question (Source = Bing),Question (Source = Yahoo)
99,,,,What alternatives do I have if there are no hand sanitizers available,What do I do if I get a rash or other reaction to hand sanitizer ,,,,,,
100,,,,Can people who recover from covid be infected again ,,After recovering from covid does a person have long-term immunity to the virus ,If I have recovered from covid will I be immune to it ,,,,"are covid survivors immune, can covid reinfect"
101,,,,Should I start avoiding people of Asian descent and their businesses ,,,,,,,
102,,,,"When should we identify ourselves as ""being sick"" and stay at home ",,Should I go to work,Should I go to work if there is an outbreak in my community ,,,,
103,,,,,Can disinfectant sprays or wipes be used on my skin injected inhaled or ingested to prevent or treat covid ,"Will ingesting or injecting disinfectants protect me against covid or kill covid if I already have it, Should I spray myself or my kids with disinfectant",,,,,
104,,,,,Where can I buy hand sanitizer,,,,,,
105,,,,,Where can I report websites selling fraudulent medical products ,,,,,,
106,,,,,What is a biological medical product or a biologic ,,,,,,
107,,,,,Does covid present a risk to the safety of the nation’s blood supply ,,,,,,
108,,,,,"What steps are being taken to protect the U.S. blood supply from the virus that causes covid, Is it safe for me to donate blood during the covid pandemic",,,,,,
109,,,,,Why aren’t blood centers testing donors for covid ,,,,,,
110,,,,,What is convalescent plasma ,,,,,,
111,,,,,Can covid be transmitted through human cells tissues or cellular and tissue- based products (HCT/Ps) ,,,,,,
112,,,,,Why is convalescent plasma being investigated to treat covid,,,,,,
113,,,,,can I donate convalescent plasma ,,,,,,
114,,,,,Are antibiotics effective in preventing or treating covid ,If a covid patient progresses to pneumonia what antibiotics if any have proven to be effective ,,,Are antibiotics effective in preventing or treating the covid,,
115,,,,,Will Miracle Mineral Solution (MMS) cure covid ,,,,,,
116,,,,,"Are chloroquine phosphate or hydroxychloroquine sulfate approved by the FDA to treat covid, Are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with covid",,,"In vitro comparison of antiviral activity of Chloroquine(CQ) and Hydroxychloroquine(HCQ) against covid, What is the effect of Chloroquine(CQ) and Hydroxychloroquine(HCQ) on endosomal maturation and endocytosis in covid treatment, Evidence of Hydroxychloroquine(HCQ) being anti inflammatory in covid critically ill patients with elevated plasma cytokines",,,
117,,,,,May health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off-label to treat patients with covid ,,,,,,
118,,,,,Should I take ivermectin to prevent or treat covid ,,,,,,
119,,,,,What is the FDA doing to protect people from fraudulent covid products ,,,,,,
120,,,,,Are there going to be drug shortages due to drug manufacturer facility closures in China ,,,,,,
121,,,,,Am I at risk for covid from taking FDA-approved drugs made in China,,,,,,
122,,,,,Who should I contact with drug-related questions ,,,,,,
123,,,,,Is there a shortage of personal protective equipment or of ventilators ,,,,,,
124,,,,,Can 3D printing be used to make PPE ,,,,,,
125,,,,,Who should I contact if I have questions about medical devices or need more information ,,,,,,
126,,,,,"Will there be food shortages, Will there be animal food shortages, Is the U.S. food supply safe, Is the U.S. animal food supply safe",,,,,,
127,,,,,Should food workers who are ill stay home ,,,,,,
128,,,,,Should food facilities perform any special cleaning or sanitation procedures for covid ,,,,,,
129,,,,,Is there a test for covid in pets ,,,,,,
130,,,,,Should I get my pet tested for covid ,,Do I need to get my pet tested for covid,,,,
131,,,,,Are there any approved products that can prevent or treat covid in animals ,,,,,,
132,,,,,Is it true that animals get their own different types of covid ,,,,,,
133,,,,,If my pet previously had a species-specific covid does that make them more or less likely to get covid ,,,,,,
134,,,,,If my pet has been vaccinated for species-specific covid does that make them more or less likely to get covid ,,,,,,
135,,,,,Are there going to be any animal drug shortages due to the covid outbreak ,,,,,,
136,,,,,,Should I stop wearing contacts and switch to glasses ,Should contact lens wearers take special precautions to prevent covid ,,,,
137,,,,,,Can you safely reuse a non-cloth mask that you can’t wash ,,,,,
138,,,,,,Why can’t we just test everyone in the US ,,,,,
139,,,,,,If novel covid antibodies may or may not offer long-term immunity how would a vaccine help ,,,,,
140,,,,,,Are some blood types able to fight this covid better than other blood types ,,,,,
141,,,,,,Why is a cure taking so long,,,,,
142,,,,,,Does this pandemic have anything to do with the 5G network ,,,,,
143,,,,,,Will a pneumonia or flu vaccine help protect against covid,,,,,
144,,,,,,Why are medical workers getting sick with or dying from covid if they’re wearing protective gear ,,Why exposure risk of covid is very high for ICU staff and what precautions should be taken,,,
145,,,,,,Can I have the flu and covid at the same time,,Is it possible to get infected with COVID and another virus,,,
146,,,,,,How many people with covid don't have symptoms ,,,,,
147,,,,,,If there’s no cure why go to the hospital unless you have a breathing problem ,,,,,
148,,,,,,Is the water supply at risk ,,,,,
149,,,,,,If people can spread the virus without showing any symptoms how can I tell who’s infected and who’s not ,,,,,
150,,,,,,How long is someone contagious after getting covid,Can someone who has had covid spread the illness to others ,,,,
151,,,,,,What exactly does 'older' adults mean,,,,,
152,,,,,,What can I do if my loved one suspects they have covid ,"What if my child or someone else in the home is sick with symptoms of covid, What should I do if someone in my house gets sick with covid ",,,,
153,,,,,,Should I stock up on extra food and supplies,,,,,
154,,,,,,Should I avoid public transportation,,,,,
155,,,,,,How do I stay healthy while using Uber or Lyft,,,,,
156,,,,,,Is it safe for me to vote at a polling location,,,,,
157,,,,,,Can I be fired if I stay home sick ,,,,,
158,,,,,,What happens when workers don't get paid sick leave,,,,,
159,,,,,,Can managers send a sick worker home ,,,,,
160,,,,,,If traveling on a plane how do I stay safe,,,,,
161,,,,,,Since a plane's cabin keeps circulating air will I get sick if another passenger is sick,,,,,
162,,,,,,What do I do if I think I’m sick,,,,have covid,
163,,,,,,I’ve heard that home remedies can cure or prevent the virus. Is that true ,,,,,
164,,,,,,How long does it take to recover,,,,,
165,,,,,,Why waste a test kit on a person without symptoms,,,,,
166,,,,,,,What is a novel covid,"What are covides, What are covides",,,what is covid virus
167,,,,,,,Why might someone blame or avoid individuals and groups (create stigma) because of covid ,,,,
168,,,,,,,How can people help stop stigma related to covid ,,,,
169,,,,,,,Why do some state’s covid case numbers sometimes differ from what is posted on CDC’s website ,,,,
170,,,,,,,How do CDC’s covid case numbers compare with those provided by the World Health Organization (WHO) or Johns Hopkins ,,,,
171,,,,,,,Why do the number of cases for previous days increase ,,,,
172,,,,,,,Why are we seeing a rise in cases ,,,,
173,,,,,,,Can someone who has been quarantined for covid spread the illness to others ,,,,
174,,,,,,,What is community spread ,,,,
175,,,,,,,Is contact lens disinfecting solution effective against covid ,,,,
176,,,,,,,"How can I protect my child from covid infection, What steps should parents take to protect children during a community outbreak ",,,,
177,,,,,,,Are the symptoms of covid different in children than in adults ,,,,
178,,,,,,,How do I prepare my children in case of covid outbreak in our community ,,,,
179,,,,,,,While school’s out can my child hang out with their friends,,,,
180,,,,,,,"While school’s out how can I help my child continue learning, How can I prepare in case my child’s school child care facility or university is dismissed ",,,,
181,,,,,,,While school’s out will kids have access to meals ,,,,
182,,,,,,,What can I do if my child has difficulties adjusting to new routines and following recommendations ,,,,
183,,,,,,,How can my family cope with the added stress ,,,,
184,,,,,,,What if my child’s symptoms of their underlying medical condition or complex chronic medical condition get worse ,,,,
185,,,,,,,What if my child needs to go to the hospital,,,,
186,,,,,,,"What steps can my family take to reduce our risk of getting covid, How can my family and I prepare for covid",,,,
187,,,,,,,How can I prepare for covid at work ,,,,
188,,,,,,,"Should I use soap and water or a hand sanitizer to protect against covid, What cleaning products should I use to protect against covid ",,,,
189,,,,,,,What should I do if there is an outbreak in my community,,,,
190,,,,,,,Will schools be dismissed if there is an outbreak in my community ,,,,
191,,,,,,,Can CDC tell me or my employer when it is safe for me to go back to work/school after recovering from or being exposed to covid,,,,
192,,,,,,,Should I be tested for covid ,,,,when to get tested for covid
193,,,,,,,Can a person test negative and later test positive for covid ,,,,
194,,,,,,,What is serology testing And can I be tested using this method ,,,,
195,,,,,,,What should people at higher risk of serious illness with covid do ,,,,
196,,,,,,,Are there any medications I should avoid taking if I have covid ,,,,
197,,,,,,,What about underlying medical conditions that are not included on this list ,,,,
198,,,,,,,What does a well-controlled health condition mean ,,,,
199,,,,,,,What does more severe illness mean ,,,,
200,,,,,,,Am I at risk if I go to a funeral or visitation service for someone who died of covid ,,,,
201,,,,,,,What do funeral home workers need to know about handling decedents who had covid ,,,,
202,,,,,,,"What should I do if my family member died from covid while overseas, My family member died from covid while overseas. What are the requirements for returning the body to the United States ",,,,
203,,,,,,,What is CDC doing about covid ,,,,
204,,,,,,,What is the difference between cleaning and disinfecting ,,,,
205,,,,,,,What is routine cleaning,,,,
206,,,,,,,How frequently should facilities be cleaned to reduce the potential spread of covid ,,,,
207,,,,,,,Is cleaning alone effective against the virus that causes covid ,,,,
208,,,,,,,Who should clean and disinfect community spaces ,,,,
209,,,,,,,How long do companies need to close for disinfection after an exposure,,,,
210,,,,,,,How effective are alternative disinfection methods,,,would microwave kill covid,
211,,,,,,,How long before other workers can come back to work ,,,,
212,,,,,,,Should outdoor playgrounds be cleaned and disinfected to prevent covid ,,,,
213,,,,,,,Can sanitizing tunnels be used at building entrances or exits to prevent the spread of covid ,,,,
214,,,,,,,Should sidewalks and roads be disinfected to prevent covid ,,,,
215,,,,,,,Should I avoid contact with pets or other animals if I am sick with covid ,,,,
216,,,,,,,What animals can get covid ,What animals can carry covid,,does covid kill animals,"which animals are immune covid, which animal gave covid"
217,,,,,,,What should I do if my pet gets sick and I think it’s covid ,,,,
218,,,,,,,Why are animals being tested when many people can’t get tested ,,,,
219,,,,,,,Are import animals and animal products safe,,,,
220,,,,,,,What precautions should be taken for animals that have recently been imported from outside the United States,,,,
221,,,,,,,"Can wild animals spread the virus that causes covid to people or pets, Can bats in United States spread covid back to people ",,,,
22,,,,,,,,When was the Middle East Respiratory Syndrome covid isolated first,,,
223,,,,,,,,Which medical comorbidities most profoundly influenced MERS-CoV outcomes,,,
224,,,,,,,,"What is the size of bovine covid, What is the molecular structure of bovine covid",,,
225,,,,,,,,What is the estimated R0 of covid,,,
226,,,,,,,,What is the relationship between SARS-CoV and acute lung injury (ALI),,,
227,,,,,,,,"What is the relationship between the presence of virus in anal swabs and disease severity in covid, What could be the implication of covid virus in anal swabs",,,
228,,,,,,,,What is a key assumption of a semi-mechanistic Bayesian hierarchical model used for covid,,,
229,,,,,,,,What is the genus of the SARS covid,,,
230,,,,,,,,What will be the drug of choice for treating covid between Chloroquine and Remdesivir,,,
231,,,,,,,,What was the read coverage for the E-30 genome in this study,,,
232,,,,,,,,What is important for understanding the origin and evolution of this novel lineage B betacovid,,,
233,,,,,,,,Why might we underestimate the spread of covid,,,
234,,,,,,,,What is the relation between the newcovid and the conserved orf8,,,
235,,,,,,,,Where does the NLRP3 inflammasome activate after a SARS-CoV infection,,,
236,,,,,,,,What was the fatality rate of the SARS covid outbreak between November 2002 and July 2003,,,
237,,,,,,,,How many nucleotides does bovine covid contain,,,
238,,,,,,,,Why is there no credible evidence to support the claim that the covid is derived from the chimeric SL-SHC014-MA15 virus,,,
239,,,,,,,,What was a characteristic of SARS-CoV and MERS-CoV specimens collected from the lower respiratory tract such as sputum and tracheal aspirates,,,
240,,,,,,,,What's the recommended method to disinfect floors for covid,,,
241,,,,,,,,"What illness is caused by the covid covid, What is the name of the disease caused buy covid",,,
242,,,,,,,,What does the orf8 derived from covid belong to,,,
243,,,,,,,,What is the conclusion of the covid long-term surveillance studies,,,
244,,,,,,,,What percentage of people infected with MERS-CoV died,,,
245,,,,,,,,How many COVID deaths occurred in Chinese mainland as of March 11th,,,
246,,,,,,,,What other tests should be considered for covid epidemiology,,,
247,,,,,,,,What viruses are similar to the covid covid,,,
248,,,,,,,,What tests should be done before a covid infected patient is discharged,,,
249,,,,,,,,Why early identification of covid patients can be difficult,,,
250,,,,,,,,When did we discover that covid was a novel covid,,,
251,,,,,,,,What is the incubation period for MERS-COV,,,
252,,,,,,,,When did the United States declare covid a public health emergency,,,
253,,,,,,,,What is the acronym MERS-CoV,,,
254,,,,,,,,How long did it take China to build the temporary hospital in Wuhan for covid patients,,,
255,,,,,,,,Where was hepcidin first discovered,,,
256,,,,,,,,How many people did SARS-CoV infect,,,
257,,,,,,,,Which Human covid showed species specific clinical characteristics of its infection,,,
258,,,,,,,,How does gender influence MERS-COV infection,,,
259,,,,,,,,What test could give an indication for special care for covid patients,,,
260,,,,,,,,"When did the Chinese authorities share the sequence of a novel covid, How long did it take to publish the full genomic sequence of covid after it was identified",,,
261,,,,,,,,Is the orf1ab gene at the 3' or 5' end of the bovine covid genome,,,
262,,,,,,,,What are the descriptive statistics for the onset-to-death for covid,,,
263,,,,,,,,What could account for the high transmission rate of the covid virus,,,
264,,,,,,,,What was the fatality rate for SARS-CoV,,,
265,,,,,,,,How do SARS-CoV viral proteins interact with the immune response,,,
266,,,,,,,,What is the contrast with SARS-COV and MERS=COV,,,
267,,,,,,,,When did the World Health Organization (WHO) officially declare the covid epidemic as a Public Health Emergency of International Concern,,,
269,,,,,,,,What was the reservoir for SARS-CoV and MERS-CoV,,,
270,,,,,,,,How does cell-entry differ between SARS-CoV and MERS-CoV,,,
271,,,,,,,,What is the relationship between SARS-CoV and acute respiratory distress syndrome (ARDS),,,
272,,,,,,,,How does the transmissibility of covid compare with other viruses,,,
273,,,,,,,,Why is it proposed that some bat SL-CoVs may be able to directly infect human hosts,,,
274,,,,,,,,What was the role of corticosteroid use in hospitalized patients with SARS-CoV,,,
275,,,,,, ,,What does the SARS-CoV protein activate,,,
276,,,,,,,,What platform was instrumental in rapid sharing of covid information,,,
277,,,,,,,,Where can published genomic sequences be found for the covid virus,,,
278,,,,,,,,How do most bat SARSr-COV differ from covid and human SARS-COV,,,
279,,,,,,,,When does the infectivity of SARS-COV peak,,,
280,,,,,,,,What is a recent discovery,,,
281,,,,,,,,Which immune factors were associated with increased SARS-CoV morbidity and mortality,,,
282,,,,,,,,What is the RNA of the covid,,,
283,,,,,,,,Why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the covid reproduction number,,,
284,,,,,,,,When did the WHO declare COVID to be a Public Health Emergency of International Concern,,,
285,,,,,,,,What type of virus is covid,,,
286,,,,,,,,What were the common HCOV strains in the 5 year USA study,,,
287,,,,,,,,Why is it highly unlikely that RaTG13 CoV is the immediate source of covid. ,,,
288,,,,,,,,What genes have been targeted for the diagnostic RT-PCR tests in covid,,,
289,,,,,,,,What's the recommended procedure to disinfect at CT scanner after a covid exposure,,,
290,,,,,,,,What is the acronym covid,,,
