Question,Answer,Source,Date Retrieved
How long does coronavirus stay “alive” on surfaces,"Up to three days, depending on the surface. ",Cable News Network,29-Apr-20
"After recovering from coronavirus, does a person have long-term immunity to the virus ",It’s too early to know for sure. ,Cable News Network,29-Apr-20
Will a pneumonia or flu vaccine help protect against coronavirus,Some cases of coronavirus do lead to pneumonia. But the pneumonia vaccine won’t help,Cable News Network,29-Apr-20
Should I wear a face mask in public,The CDC “recommends wearing cloth face coverings in public settings where other social distancing measures are diffcult to maintain.,Cable News Network,29-Apr-20
How long will we have to keep social distancing,"Probably for several months. But you might have to do it over and over again, since the outbreak could come in waves. ",Cable News Network,29-Apr-20
Why is a cure taking so long,"An antiviral drug must be able to target the specific part of a virus’s life cycle that is necessary for it to reproduce, according to Harvard Medical School.",Cable News Network,29-Apr-20
Why are medical workers getting sick with or dying from coronavirus if they’re wearing protective gear ,Many health care workers don’t actually have enough protective gear to handle the growing influx of coronavirus patients. ,Cable News Network,29-Apr-20
Can I have the flu and coronavirus at the same time,Yes. Testing positive for either the flu or coronavirus doesn’t exempt you from having the other at the same time. ,Cable News Network,29-Apr-20
Should all Americans be under stay-at-home orders,"“We really should be,” said Dr. Anthony Fauci, a member of the White House Coronavirus Task Force. ",Cable News Network,29-Apr-20
How many people with coronavirus don't have symptoms ,Recent studies suggest 25% to 50% of coronavirus carriers don’t have symptoms.,Cable News Network,29-Apr-20
"If there’s no cure, why go to the hospital unless you have a breathing problem ","Most coronavirus patients don’t need to be hospitalized. “The vast majority of people – about 80% – will do well without any specific intervention,” said Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases. ",Cable News Network,29-Apr-20
Can high or low temperatures kill coronavirus ,"Generally coronaviruses survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. However, we don’t have direct data for this virus, nor do we have direct data for a temperature-based cutob for inactivation at this point, ",Cable News Network,29-Apr-20
Is the water supply at risk ,"No, the water supply is not at risk. ",Cable News Network,29-Apr-20
Is coronavirus more contagious than the flu ,"Yes. Research indicates a person with the flu infects about 1.28 other people, on average. But with the novel coronavirus, it’s likely between 2 and 3 other people.",Cable News Network,29-Apr-20
"If people can spread the virus without showing any symptoms, how can I tell who’s infected and who’s not ","You can’t, said Dr. James Phillips, chief of disaster and operational medicine at George Washington University Hospital. ",Cable News Network,29-Apr-20
How does this coronavirus spread,"It primarily spreads between people through respiratory droplets, like through coughs, sneezes, spittle. ",Cable News Network,29-Apr-20
How long is someone contagious after getting coronavirus,It varies. Decisions about when a person can be released from isolation are made on a case-by-case basis. ,Cable News Network,29-Apr-20
What exactly does 'older' adults mean,The average age of death for people from coronavirus is 80. Average age of people who need medical attention is age 60.,Cable News Network,29-Apr-20
Are kids more at risk ,Younger people seem to be insulated to some extent to protect them from getting particularly sick.,Cable News Network,29-Apr-20
Is coronavirus especially harmful for pregnant women,Researchers do not have information from published scientific reports about susceptibility of pregnant women to this coronavirus.,Cable News Network,29-Apr-20
What can I do if my loved one suspects they have coronavirus ,Don’t visit family members with suspected illness – keep up with them virtually. ,Cable News Network,29-Apr-20
Should I disinfect my groceries,"“I would suggest wiping down external surfaces of canned or wrapped foods,” said Dr. Celine Gounder, an infectious disease specialist at Bellevue Hospital Center. ",Cable News Network,29-Apr-20
Should I stock up on extra food and supplies,"Yes, because a family member may suddenly have to quarantine. ",Cable News Network,29-Apr-20
Should I avoid public transportation,"If you rely on public transportation, use caution. If you’re sick or live in an area where an outbreak has been reported, avoid it. ",Cable News Network,29-Apr-20
How do I stay healthy while using Uber or Lyft,Both rideshare companies said they’re actively trying to protect customers and drivers from coronavirus. ,Cable News Network,29-Apr-20
Is it safe for me to vote at a polling location,States have received guidance from the CDC on how to keep voting locations clean. It’s up to you whether you feel comfortable going. ,Cable News Network,29-Apr-20
Should I go to work,"If you can, you should stay home from work when you’re sick, whether or not you have coronavirus. ",Cable News Network,29-Apr-20
Can I be fired if I stay home sick ,An employee can be fired if they don’t show up to work and they don’t have sick leave that would cover the absence.,Cable News Network,29-Apr-20
What happens when workers don't get paid sick leave,"The Family and Medical Leave Act (FMLA) can sometimes protect a worker’s job in the event they get sick, but it won’t guarantee they get paid while they’re out. ",Cable News Network,29-Apr-20
Can managers send a sick worker home ,"Yes, managers can. ",Cable News Network,29-Apr-20
"If traveling on a plane, how do I stay safe",It’s not the cabin air you need to worry about. It’s keeping your hands clean. ,Cable News Network,29-Apr-20
"Since a plane's cabin keeps circulating air, will I get sick if another passenger is sick ",Most viruses don’t spread easily on airplanes because of how the air circulates and is filtered.,Cable News Network,29-Apr-20
"If I have a weakened immune system, should I cancel my travel plans ","People who are immunocompromised are at higher risk from this illness, as well as other illnesses like the flu. Avoiding contact with ill people is crucial.",Cable News Network,29-Apr-20
What do I do if I think I’m sick,Stay home. Call your doctor to talk about your symptoms and let them know you’re coming for an appointment so they can prepare for your visit.,Cable News Network,29-Apr-20
What’s the best way to prevent coronavirus,"Stay at least 6 feet away from others, and wash your hands often. ",Cable News Network,29-Apr-20
Should I spray myself or my kids with disinfectant,No. Those products work on surfaces but can be dangerous to your body. ,Cable News Network,29-Apr-20
I’ve heard that home remedies can cure or prevent the virus. Is that true ,"There’s no evidence from the outbreak that eating garlic, sipping water every 15 minutes or taking vitamin C will protect people from the new coronavirus. ",Cable News Network,29-Apr-20
"If infected with coronavirus, can you survive it and recover ",Absolutely. The vast majority of people with coronavirus survive. ,Cable News Network,29-Apr-20
How long does it take to recover,It takes anything up to six weeks to recover from this disease.,Cable News Network,29-Apr-20
Why waste a test kit on a person without symptoms,"Some people with coronavirus have mild or no symptoms. And in some cases, symptoms don’t appear until up to 14 days after infection. ",Cable News Network,29-Apr-20
Why is the US so far behind other countries with testing,Experts say it’s due to cuts in federal funding for public health and problems with early testing. ,Cable News Network,29-Apr-20
"If a coronavirus patient progresses to pneumonia, what antibiotics if any have proven to be effective ","No, antibiotics are not effective against coronavirus because the disease is a viral infection, not a bacterial infection. ",Cable News Network,29-Apr-20
Can the heat from a hand dryer kill coronavirus ,Hand dryers can’t kill the virus.,Cable News Network,29-Apr-20
Can I get coronavirus from a package sent from China,No. The new coronavirus cannot be transmitted through goods manufactured in China or any country reporting Covid-19 cases ,Cable News Network,29-Apr-20
,,Cable News Network,29-Apr-20
,,Cable News Network,29-Apr-20
