Question,Answer,Source,Date Retrieved
was covid 19 created in a lab,-,Yahoo Autocomplete,4-May-20
was covid-19 man-made,-,Yahoo Autocomplete,4-May-20
was covid engineered,-,Yahoo Autocomplete,4-May-20
was covid 19 released on purpose,-,Yahoo Autocomplete,4-May-20
was covid 19 weaponized,-,Yahoo Autocomplete,4-May-20
was covid 19 predicted,-,Yahoo Autocomplete,4-May-20
was covid-19 in us before christmas,-,Yahoo Autocomplete,4-May-20
was covid 19 manufactured,-,Yahoo Autocomplete,4-May-20
was covid 19 a bio weapon,-,Yahoo Autocomplete,4-May-20
what is covid 19,-,Yahoo Autocomplete,4-May-20
what is covid 19 virus,-,Yahoo Autocomplete,4-May-20
what is covid-19 stand for,-,Yahoo Autocomplete,4-May-20
what are the symptoms of covid,-,Yahoo Autocomplete,4-May-20
when to get tested for covid 19,-,Yahoo Autocomplete,4-May-20
when covid 19 will stop,-,Yahoo Autocomplete,4-May-20
when does fever start with covid,-,Yahoo Autocomplete,4-May-20
when are you contagious with covid,-,Yahoo Autocomplete,4-May-20
when covid 19 start,-,Yahoo Autocomplete,4-May-20
when covid ends,-,Yahoo Autocomplete,4-May-20
when covid 19 will end,-,Yahoo Autocomplete,4-May-20
where to get tested for covid-19,-,Yahoo Autocomplete,4-May-20
where covid 19 come from,-,Yahoo Autocomplete,4-May-20
where is covid,-,Yahoo Autocomplete,4-May-20
where to donate for covid,-,Yahoo Autocomplete,4-May-20
where covid 19 came from,-,Yahoo Autocomplete,4-May-20
where covid-19 started,-,Yahoo Autocomplete,4-May-20
where can I get tested for covid,-,Yahoo Autocomplete,4-May-20
which covid symptom is first,-,Yahoo Autocomplete,4-May-20
which states have the most cases of covid,-,Yahoo Autocomplete,4-May-20
which animals are immune covid,-,Yahoo Autocomplete,4-May-20
which actor died from covid,-,Yahoo Autocomplete,4-May-20
which congressman has covid,-,Yahoo Autocomplete,4-May-20
which animal gave covid,-,Yahoo Autocomplete,4-May-20
which oklahoma counties have covid,-,Yahoo Autocomplete,4-May-20
which lakers players have covid,-,Yahoo Autocomplete,4-May-20
why covid 19,-,Yahoo Autocomplete,4-May-20
why covid 19 is worse than the flu,-,Yahoo Autocomplete,4-May-20
why covid 19 is dangerous,-,Yahoo Autocomplete,4-May-20
why covid called novel,-,Yahoo Autocomplete,4-May-20
why covid 19 name,-,Yahoo Autocomplete,4-May-20
why covid is not the flu,-,Yahoo Autocomplete,4-May-20
why covid 19 is different,-,Yahoo Autocomplete,4-May-20
why covid-19 is contagious,-,Yahoo Autocomplete,4-May-20
why covid-19 is different than the flu,-,Yahoo Autocomplete,4-May-20
will covid 19 be gone by summer,-,Yahoo Autocomplete,4-May-20
will covid 19 die out,-,Yahoo Autocomplete,4-May-20
will covid 19 go away in spring,-,Yahoo Autocomplete,4-May-20
will covid 19 end,-,Yahoo Autocomplete,4-May-20
will covid 19 come back in the fall,-,Yahoo Autocomplete,4-May-20
will covid 19 be a problem next year,-,Yahoo Autocomplete,4-May-20
will covid 19 be seasonal,-,Yahoo Autocomplete,4-May-20
will covid 19 mutate,-,Yahoo Autocomplete,4-May-20
will covid-19 kill us all,-,Yahoo Autocomplete,4-May-20
will covid end,-,Yahoo Autocomplete,4-May-20
