Question,Answer,Source,Date Accessed
What was a characteristic of SARS-CoV and MERS-CoV specimens collected from the lower respiratory tract such as sputum and tracheal aspirates,have higher and more prolonged levels of viral RNA because of the tropism of the virus. ,GitHub COVID-QA Dataset,27-Apr-20
Why is there no credible evidence to support the claim that the SARS-CoV-2 is derived from the chimeric SL-SHC014-MA15 virus,"upon careful phylogenetic analyses by multiple international groups [5, 14] , the SARS-CoV-2 is undoubtedly distinct from SL-SHC014-MA15, with >6,000 nucleotide differences across the whole genome.",GitHub COVID-QA Dataset,27-Apr-20
What animals can carry coronavirus,"uding birds, farm animals, pets, camels, an",GitHub COVID-QA Dataset,27-Apr-20
What COVs were known to infect humans before December 2019,"6 CoVs were known to infect human, including 2 αCoV (HCoV-229E and HKU-NL63) and 4 βCoV (HCoV-OC43 [ ",GitHub COVID-QA Dataset,27-Apr-20
What's the recommended method to disinfect floors for COVID-19,"The ground is wiped with 1000mg/L chlorine-containing
disinfectant, once /4 hours.",GitHub COVID-QA Dataset,27-Apr-20
How long is the incubation time for COVID19,between 2 and 14 days,GitHub COVID-QA Dataset,27-Apr-20
What illness is caused by the 2019-nCOV Coronavirus,The novel coronavirus (2019-nCoV) infection caused pneumonia. ,GitHub COVID-QA Dataset,27-Apr-20
What does the orf8 derived from 2019-nCOV belong to,the group that includes the closest genome sequences of bat SARS-related-CoV ZXC21 and ZC45. ,GitHub COVID-QA Dataset,27-Apr-20
What are the steps that a hospital should take after COVID-19 outbreak,2019-nCoV patients should be admitted,GitHub COVID-QA Dataset,27-Apr-20
What is the conclusion of the coronavirus long-term surveillance studies,Rhinolophus bats seem to harbor a wide diversity of CoVs,GitHub COVID-QA Dataset,27-Apr-20
What percentage of people infected with MERS-CoV died,35-50%,GitHub COVID-QA Dataset,27-Apr-20
How many COVID deaths occurred in Chinese mainland as of March 11th,"3,169",GitHub COVID-QA Dataset,27-Apr-20
What other tests should be considered for 2019-nCOV epidemiology,serology should be considered for 2019-nCoV epidemiology.,GitHub COVID-QA Dataset,27-Apr-20
What viruses are similar to the COVID-19 coronavirus,MERS-CoV and SARS-CoV.,GitHub COVID-QA Dataset,27-Apr-20
What tests should be done before a 2019-nCOV infected patient is discharged,"we cannot discharge a patient purely based on oral swabs negative, who may still shed the virus by oral-fecal route. Above all, we strongly suggest using viral IgM and IgG serological test to confirm an infection, considering the unreliable results from oral swabs detection",GitHub COVID-QA Dataset,27-Apr-20
Why early identification of COVID-19 patients can be difficult,Early identification of 2019-nCoV infection presents a major challenge,GitHub COVID-QA Dataset,27-Apr-20
When did we discover that SARS-CoV-2 was a novel coronavirus,26-Jan-20,GitHub COVID-QA Dataset,27-Apr-20
What is the incubation period for MERS-COV, incubation period of 16 days with a mean of 5-6 days [,GitHub COVID-QA Dataset,27-Apr-20
When did the United States declare COVID19 a public health emergency,"January 31, 2020,",GitHub COVID-QA Dataset,27-Apr-20
What is the acronym MERS-CoV,Middle East respiratory syndrome coronavirus,GitHub COVID-QA Dataset,27-Apr-20
How long did it take China to build the temporary hospital in Wuhan for COVID-19 patients,10 days,GitHub COVID-QA Dataset,27-Apr-20
Where was hepcidin first discovered,human urine,GitHub COVID-QA Dataset,27-Apr-20
How many people did SARS-CoV infect,8000,GitHub COVID-QA Dataset,27-Apr-20
Which Human Coronavirus showed species specific clinical characteristics of its infection,HCoV‐HKU1,GitHub COVID-QA Dataset,27-Apr-20
How does gender influence MERS-COV infection, MERS-CoV infects males more than females,GitHub COVID-QA Dataset,27-Apr-20
What test could give an indication for special care for 2019-nCOV patients,presence of viral RNA outside of the respiratory tract might herald the severity of the disease and alarm the requirement of special care,GitHub COVID-QA Dataset,27-Apr-20
When did the Chinese authorities share the sequence of a novel coronavirus ,12-Jan-20,GitHub COVID-QA Dataset,27-Apr-20
Is the orf1ab gene at the 3' or 5' end of the bovine coronavirus genome,5= side,GitHub COVID-QA Dataset,27-Apr-20
What are the descriptive statistics for the onset-to-death for coronavirus,"Gamma distributed with a mean of 18.8 days and a
coefficient of va riation 0.45",GitHub COVID-QA Dataset,27-Apr-20
What is the molecular structure of bovine coronavirus,"single-stranded, linear, and nonsegmented RNA",GitHub COVID-QA Dataset,27-Apr-20
What is the effect of Chloroquine(CQ) and Hydroxychloroquine(HCQ) on endosomal maturation and endocytosis in COVID-19 treatment,"Since acidification is crucial for endosome maturation and function, we surmise that endosome maturation might be blocked at intermediate stages of endocytosis,",GitHub COVID-QA Dataset,27-Apr-20
What could account for the high transmission rate of the 2019-nCOV virus,"Intensive structural analysis of the S protein of 2019-nCoV with the SARS-Coronavirus suggested that several critical residues in the viral spike protein might confer favourable interaction with human ACE2 [7] . Of note, ACE2 is also abundantly present in humans in the epithelia of the small intestine besides the respiratory tract and is ubiquitously present in endothelial cells [8] , which might provide possible routes of transmission, and might account for the high transmission capacity of the new virus. ",GitHub COVID-QA Dataset,27-Apr-20
What was the fatality rate for SARS-CoV,10%,GitHub COVID-QA Dataset,27-Apr-20
How do SARS-CoV viral proteins interact with the immune response,"several viral proteins suppress the type I IFN response, and other aspects of innate antiviral immunity",GitHub COVID-QA Dataset,27-Apr-20
What is the contrast with SARS-COV and MERS=COV," SARS-CoV (lineage B βCoV) and MERS-CoV (lineage C βCoV) may cause severe lower respiratory tract infection with acute respiratory distress syndrome and extrapulmonary manifestations, such as diarrhea, lymphopenia, deranged liver and renal function tests, and multiorgan dysfunction syndrome, among both immunocompetent and immunocompromised hosts with mortality rates of ∼10% and ∼35%, respectively ",GitHub COVID-QA Dataset,27-Apr-20
When did the World Health Organization (WHO) officially declare the 2019-nCoV epidemic as a Public Health Emergency of International Concern,30-Jan-20,GitHub COVID-QA Dataset,27-Apr-20
How many COVID-19 cases were confirmed on the Diamond Princess cruise ship,"Out of a total of 3711 persons (consisting of 2666 passengers and 1045 crew members), 199 symptomatic cases have been diagnosed on board as of 24 February, and additional asymptomatic infections and symptomatic cases after disembarkation have also been reported",GitHub COVID-QA Dataset,27-Apr-20
What was the reservoir for SARS-CoV and MERS-CoV,animal reservoirs,GitHub COVID-QA Dataset,27-Apr-20
How does cell-entry differ between SARS-CoV and MERS-CoV,"SARS-CoV uses the ACE2 receptor to gain entry to cells, while MERS-CoV uses the ectopeptidase DPP4",GitHub COVID-QA Dataset,27-Apr-20
What is the relationship between SARS-CoV and acute respiratory distress syndrome (ARDS)," In some patients there is a progression to the more severe form of ALI, acute respiratory distress syndrome (ARDS)",GitHub COVID-QA Dataset,27-Apr-20
How does the transmissibility of 2019-nCOV compare with other viruses,2019-nCoV has potentially higher transmissibility (R0: 1.4-5.5) than both SARS-CoV (R0: [2] [3] [4] [5] and MERS-CoV (R0: 1),GitHub COVID-QA Dataset,27-Apr-20
Why is it proposed that some bat SL-CoVs may be able to directly infect human hosts,Combined with evolutionary evidence that the bat ACE2 gene has been positively selected at the same contact sites as the human ACE2 gene for interacting with SARS CoV [,GitHub COVID-QA Dataset,27-Apr-20
What was the role of corticosteroid use in hospitalized patients with SARS-CoV,"Retrospective analysis revealed that, when given at the correct time and to the appropriate patients, corticosteroid use could decrease mortality and also length of hospital stays",GitHub COVID-QA Dataset,27-Apr-20
What does the SARS-CoV protein activate,NLRP3 inflammasome,GitHub COVID-QA Dataset,27-Apr-20
What platform was instrumental in rapid sharing of COVID-19 information,Global Initiative on Sharing All Influenza Data (GISAID),GitHub COVID-QA Dataset,27-Apr-20
How many COVID-19 cases were confirmed on the Diamond Princess cruise ship,199,GitHub COVID-QA Dataset,27-Apr-20
Evidence of Hydroxychloroquine(HCQ) being anti inflammatory in SARS-CoV-2 critically ill patients with elevated plasma cytokines, HCQ is a safe and successful anti-inflammatory agent,GitHub COVID-QA Dataset,27-Apr-20
Where can published genomic sequences be found for the 2019-nCoV virus,Global Initiative on Sharing All Influenza Data (GISAID) (https://www.gisaid.org/),GitHub COVID-QA Dataset,27-Apr-20
How do most bat SARSr-COV differ from 2019-nCOV and human SARS-COV,bat SARSr-CoVs have two stretches of deletions in the spike receptor binding domain (RBD) when compared with that of human SARS-CoV,GitHub COVID-QA Dataset,27-Apr-20
When does the infectivity of SARS-COV peak,"10 days after illness onset [7] , consistent with the peak in viral load at around that time",GitHub COVID-QA Dataset,27-Apr-20
What is a recent discovery,Bat is believed to harbor many more viruses than we ever thought as a reservoir host or even a susceptible host ,GitHub COVID-QA Dataset,27-Apr-20
Which immune factors were associated with increased SARS-CoV morbidity and mortality,a higher neutrophil count and low T-cell counts,GitHub COVID-QA Dataset,27-Apr-20
What is the RNA of the 2019-nCOV,"29891 nucleotides in size, encoding 9860 amino acids",GitHub COVID-QA Dataset,27-Apr-20
Why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the coronavirus reproduction number,close spacing of interventions in time,GitHub COVID-QA Dataset,27-Apr-20
When did the WHO declare COVID to be a Public Health Emergency of International Concern,30-Jan-20,GitHub COVID-QA Dataset,27-Apr-20
What type of virus is SARS-CoV-2,betacoronavirus,GitHub COVID-QA Dataset,27-Apr-20
What were the common HCOV strains in the 5 year USA study, HCoV-OC43 and HCoV-229E,GitHub COVID-QA Dataset,27-Apr-20
Why is it highly unlikely that RaTG13 CoV is the immediate source of SARS-CoV-2. ,are distributed throughout the genome in a naturally occurring pattern following the evolutionary characteristics typical of CoVs,GitHub COVID-QA Dataset,27-Apr-20
What genes have been targeted for the diagnostic RT-PCR tests in 2019-nCoV,E and RdRp genes,GitHub COVID-QA Dataset,27-Apr-20
What's the recommended procedure to disinfect at CT scanner after a COVID-19 exposure,"The equipment in the contaminated area are wiped with
2000mg/L chlorine-containing disinfectant. The DR and CT gantry in the contaminated
area are wiped with 75% ethanol. The equipment in the buffer area is wiped with
500-1000mg/L chlorine-containing disinfectant or alcohol-containing disposable
disinfectant wipes twice a day.",GitHub COVID-QA Dataset,27-Apr-20
What is the acronym SARS-CoV-2,severe acute respiratory syndrome coronavirus 2 ,GitHub COVID-QA Dataset,27-Apr-20
What is required for a person to survive a serious SARS-CoV infection," a successful host must not only be able to clear the pathogen, but tolerate damage caused by the pathogen itself and also by the host's immune response",GitHub COVID-QA Dataset,27-Apr-20
What factor positively correlates with imported-and-reported cases counts of SARS-CoV-2 infection,daily air travel volume,GitHub COVID-QA Dataset,27-Apr-20
What are main steps for mitigating the COVID -19 transmission during transport of suspected and confirmed patients,"firstly, early recognition of the deteriorating patient; secondly, HCW safety; thirdly, bystander safety; fourthly, contingency plans for medical emergencies during transport; fifthly, post-transport decontamination",GitHub COVID-QA Dataset,27-Apr-20
What is the recovery benefit of carageenan in patients with any respiratory virus,1.9 day faster recovery from common cold symptoms than placebo treated patients in the intention-to-treat population,GitHub COVID-QA Dataset,27-Apr-20
What is the family of the SARS coronavirus,Coronaviridae,GitHub COVID-QA Dataset,27-Apr-20
For whom does the SARS-COV-2 pose a great threat,"those in complex humanitarian crises, which lack the infrastructure, support, and health systems to mount a comprehensive response. ",GitHub COVID-QA Dataset,27-Apr-20
What kind of masks are recommended to protect healthcare workers from COVID-19 exposure,N95 mask,GitHub COVID-QA Dataset,27-Apr-20
"With the intervention of movement restrictions starting on 5th February 2020 what were the confirmed cases for COVID-19, were limited to","102 and 47 cases, respectively.",GitHub COVID-QA Dataset,27-Apr-20
What age group had the most MERS-COV infections,majority of confirmed cases of MERS-CoV were reported among people aged 40 and above,GitHub COVID-QA Dataset,27-Apr-20
What is the distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine coronavirus variants,544 base pairs,GitHub COVID-QA Dataset,27-Apr-20
What do HCoV-OC43 and HCoV-HKU1 cause,self-limiting upper respiratory infections in immunocompetent hosts and occasionally lower respiratory tract infections in immunocompromised hosts and elderly ,GitHub COVID-QA Dataset,27-Apr-20
What thickness of layers is recommended for CT image reconstruction in COVID-19 assessment,1 mm-thick layers,GitHub COVID-QA Dataset,27-Apr-20
What animals do gamma and delta coronavirus mainly infect,birds,GitHub COVID-QA Dataset,27-Apr-20
What is the role of computed tomography (CT) in COVID-19,"diagnosing and categorizing
COVID-19 on the basis of case definitions issued by the WHO",GitHub COVID-QA Dataset,27-Apr-20
What is the estimated infection-to-death distribution's mean for coronavirus,23.9 days,GitHub COVID-QA Dataset,27-Apr-20
How does COVID19 get spread,close contact with an infected person,GitHub COVID-QA Dataset,27-Apr-20
What type of virus is 2019-nCOV,betacoronavirus,GitHub COVID-QA Dataset,27-Apr-20
Is the SARS coronavirus enveloped,enveloped,GitHub COVID-QA Dataset,27-Apr-20
How many laboratory-confirmed cases of SARS coronavirus infections were reported between November 2002 and July 2003,"At least 8,098",GitHub COVID-QA Dataset,27-Apr-20
What kind of test can diagnose COVID-19,rRT-PCR test,GitHub COVID-QA Dataset,27-Apr-20
When was World Health Organization (WHO) first notified about the SARS-CoV-2 epidemic in Wuhan City China,31-Dec,GitHub COVID-QA Dataset,27-Apr-20
What are ways in which 2019-nCOV is transmitted,"We found the presence of 2019-nCoV in anal swabs and blood as well, and more anal swab positives than oral swab positives in a later stage of infection, suggesting shedding and thereby transmitted through oral–fecal route.",GitHub COVID-QA Dataset,27-Apr-20
How does transmission differ between SARS-CoV and MERS-CoV," SARS-CoV also spreads more rapidly between hosts, while MERS-CoV has been more easily contained, but it is unclear if this is due to the affected patient populations and regions",GitHub COVID-QA Dataset,27-Apr-20
How long did it take to identify the cause of COVID-19,4 weeks,GitHub COVID-QA Dataset,27-Apr-20
What is the role of interferon's (IFNs) in the treatment of SARS-CoV, there is some evidence that simultaneous treatment with IFNs could increase the potential benefits,GitHub COVID-QA Dataset,27-Apr-20
When was the first local transmission of COVID reported in the United States,30-Jan-20,GitHub COVID-QA Dataset,27-Apr-20
Why exposure risk of COVID-19 is very high for ICU staff and what precautions should be taken, substantial exposure risk for ICU staff because of the following reasons,GitHub COVID-QA Dataset,27-Apr-20
Where did SARS-CoV-2 originate,"Wuhan City, China",GitHub COVID-QA Dataset,27-Apr-20
When was COVID surveillance implemented in European region,27-Jan-20,GitHub COVID-QA Dataset,27-Apr-20
what similarity human SARS-COV and palm civet SARSlike COV share," 99.8% homology, with a total of 202 single-nucleotide (nt) variations (SNVs) identified across the genome ",GitHub COVID-QA Dataset,27-Apr-20
When was SARS-CoV first identified,2003,GitHub COVID-QA Dataset,27-Apr-20
What are coronaviruses,"s are spherical, enveloped, and the largest of positive-strand RNA v",GitHub COVID-QA Dataset,27-Apr-20
Where was the second reported case of COVID in the United States,Chicago,GitHub COVID-QA Dataset,27-Apr-20
How is 2019-nCOV transmitted,"2019-nCoV was transmitted through respiratory tract and then induced pneumonia,",GitHub COVID-QA Dataset,27-Apr-20
How many amino acids are in the SARS-CoV E protein,76 amino acids,GitHub COVID-QA Dataset,27-Apr-20
Is oral swab for detecting 2019-nCOV infection sufficient," patients infected with 2019-nCoV may harbour the virus in the intestine at the early or late stage of disease. It is also worth to note none of the patients with viremia blood had positive swabs. These patients would likely be considered as 2019-nCoV negative through routine surveillance, and thus pose a threat to other people.",GitHub COVID-QA Dataset,27-Apr-20
Which is the source animal for the MERS-COV,Dromedary camels are the major animal source of MERS-CoV transmission to humans.,GitHub COVID-QA Dataset,27-Apr-20
Why is important to determine the spectrum of clinical manifestations of 2019-nCoV infections,because it determines the strength of public health response required.,GitHub COVID-QA Dataset,27-Apr-20
Who is at greater risk of dying from COVID19,patients with underlying medical conditions and the elderly,GitHub COVID-QA Dataset,27-Apr-20
When was the first case of COVID19 confirmed in the USA,15-Jan-20,GitHub COVID-QA Dataset,27-Apr-20
How do the S1 subunits compare with that of SARS-likeCOV and human SARS-COV,"Though the S1 subunit of 2019-nCoV shares around 70% identity to that of the two bat SARS-like CoVs and human SARS-CoV (Figure 3(A) ), the core domain of RBD (excluding the external subdomain) are highly conserved (",GitHub COVID-QA Dataset,27-Apr-20
What was done to test if an intermediate host may not be necessary and that some bat SL-CoVs may be able to directly infect human hosts. T, the exact S gene from bat coronavirus SL-SHC014 was synthesized and used to generate a chimeric virus in the mouse adapted MA15 SARS-CoV backbone. ,GitHub COVID-QA Dataset,27-Apr-20
What was the SARS-COV-2 reservoir,the seafood market,GitHub COVID-QA Dataset,27-Apr-20
How can the 2019-nCov spread," from person to person,",GitHub COVID-QA Dataset,27-Apr-20
What is an example of a case-based measure against coronavirus,"strong recommendations or laws to the general
public and primary care about self—isolation when showing COVID-19-like symptoms",GitHub COVID-QA Dataset,27-Apr-20
In what species did the COVID-19 virus likely originate,bats,GitHub COVID-QA Dataset,27-Apr-20
What was the primary threatening clinical finding in patients infected with SARS-CoV and MERS-CoV,severe lung pathology,GitHub COVID-QA Dataset,27-Apr-20
When was the second COVID19 case reported in the US,24-Jan-20,GitHub COVID-QA Dataset,27-Apr-20
How do SARS-CoV and MERS-CoV evade the immune system sensing it's genome,SARS-CoV and MERS-CoV are contained in double membrane vesicles,GitHub COVID-QA Dataset,27-Apr-20
What is the prognostic role of coinfection in SARS-CoV and MERS-CoV infections,One factor that increased disease for patients infected with SARS-CoV and MERS-CoV was infection with other viruses or bacteria,GitHub COVID-QA Dataset,27-Apr-20
What is the global coverage of influenza and pneumonia vaccines," By the end of 2015, Haemophilus influenzae type B conjugate vaccination had been introduced in 73 countries, with global coverage estimated at 68%. However, inequities are still apparent among regions: in the Americas coverage is estimated at 90%, while in the Western Pacific it is only 25%. By 2015, pneumococcal conjugate vaccination had been introduced into 54 countries, with global coverage of 35% for three doses of pneumococcal conjugate vaccination for infant populations",GitHub COVID-QA Dataset,27-Apr-20
What type of coronavirus was detected in R. affinis and R. sinicus species,BtCoV/Rh/YN2012,GitHub COVID-QA Dataset,27-Apr-20
What role does initial viral titer play in the prognosis of SARS-CoV and MERS-CoV,In patients with high initial viral titers there is a poor prognosis,GitHub COVID-QA Dataset,27-Apr-20
How does the pathogenicity of 2019-nCOV compare with other viruses,"Based on current evidence, pathogenicity for 2019-nCoV is about 3%, which is significantly lower than SARS-CoV (10%) and MERS-CoV (40%)",GitHub COVID-QA Dataset,27-Apr-20
"In addition to oral swabs, which tests detected the presence of 2019-nCOV virus",the 2109-nCoV RNA was readily detected in the blood (6 of 57 patients) and the anal swabs (11 of 28 patients). ,GitHub COVID-QA Dataset,27-Apr-20
Why were civets proposed to be an intermediate host of the bat-CoVs capable of spreading SARS CoV to humans,"t was proposed that the S gene from bat-derived CoV, unlike that from human patients-or civetsderived viruses, was unable to use human ACE2 as a receptor for entry into human cells ",GitHub COVID-QA Dataset,27-Apr-20
Why is there high uncertainty in estimating the impact of interventions against the coronavirus,"too early to detect substantial
intervention impact in many countries at earlier stages of their epidemic",GitHub COVID-QA Dataset,27-Apr-20
What is the estimated mean incubation period for COVID-19 infection on the Diamond Princess cruise ship,about 5.0 days,GitHub COVID-QA Dataset,27-Apr-20
What is the size of the orf1ab gene in bovine coronavirus,20kb,GitHub COVID-QA Dataset,27-Apr-20
Estimated number of people in Italy infected with coronavirus by March 28th,"cumulatively, 5.9 [1.9-15.2] million people have been
infected as of March 28th",GitHub COVID-QA Dataset,27-Apr-20
What type of ion channels are formed by the SARS-CoV E protein,Ca 2+ -permeable,GitHub COVID-QA Dataset,27-Apr-20
What was the time period of peak infection of COVID-19 on the Diamond Princess cruise ship,"2 to 4 February 2020,",GitHub COVID-QA Dataset,27-Apr-20
What is the timeline of the type I interferon (IFN) response in SARS-CoV infection,"In a mouse model of SARS-CoV infection, the type I IFN response is delayed",GitHub COVID-QA Dataset,27-Apr-20
What percentage of people infected with SARS-CoV died,10%,GitHub COVID-QA Dataset,27-Apr-20
What are the most revealing signs that SARS-CoV-2 evolved by natural evolution. ,The absence of a logical targeted pattern in the new viral sequences and a close relative in a wildlife species (bat,GitHub COVID-QA Dataset,27-Apr-20
How is COVID-19 spread,person-to-person,GitHub COVID-QA Dataset,27-Apr-20
What can be the main challenges in managing a hospital outbreak of COVID-19," (1) early identification of outbreak, (2) rapid expansion of patients, (3) high risk of nosocomial transmission, (4) unpredictability of size impacted, and (5) lack of backup resource.",GitHub COVID-QA Dataset,27-Apr-20
When was SARS-CoV-2 first identified,19-Dec,GitHub COVID-QA Dataset,27-Apr-20
What is a natural reservoir of coronavirus,Bats,GitHub COVID-QA Dataset,27-Apr-20
How many types of coronaviruses are known to cause human disease,Six,GitHub COVID-QA Dataset,27-Apr-20
What is the structure of the coronavirus,"enveloped, non-segmented, positive-strand RNA viruses",GitHub COVID-QA Dataset,27-Apr-20
When was the first passenger patient on the Diamond Princess cruise ship diagnosed with COVID-19,he case was diagnosed on 1 February,GitHub COVID-QA Dataset,27-Apr-20
What spurred the discovery of the new vector Ae. albopictus,"The 2005-2006 epidemic of CHIKV in La Reunion islands in the Indian Ocean,",GitHub COVID-QA Dataset,27-Apr-20
What was the prevalence of Coronavirus OC43 in community samples in Ilorin Nigeria,13.3% (95% CI 6.9-23.6%),GitHub COVID-QA Dataset,27-Apr-20
"What was the prevalence of Coronavirus OC 229 E/NL63 in clinical subjects in Ilorin, Nigeria",12.50%,GitHub COVID-QA Dataset,27-Apr-20
How are 2019-nCOV and SARS-COV similar,There are no remarkable differences between the orfs and nsps,GitHub COVID-QA Dataset,27-Apr-20
What symptoms might people experience with COVID19,patients with underlying medical conditions and the elderly,GitHub COVID-QA Dataset,27-Apr-20
What is the doubling time of the COVID-19 pandemic,≈6 days,GitHub COVID-QA Dataset,27-Apr-20
Is the SARS coronavirus single-stranded or double-stranded,single-stranded,GitHub COVID-QA Dataset,27-Apr-20
What is the genome size of the coronavirus,26-32 kb,GitHub COVID-QA Dataset,27-Apr-20
What are the descriptive statistics for the incubation period for coronavirus,"distribution is Gamma distributed with mean 5.1 days and coefficient of variation
0.86",GitHub COVID-QA Dataset,27-Apr-20
When was the novel Coronavirus first reported,19-Dec,GitHub COVID-QA Dataset,27-Apr-20
Use of SIR/SEIR model in Statistics-Based Predictions of Coronavirus Epidemic Spreading,"susceptible persons is S, infected (persons who are sick and spread the infection) -I, removed (persons who do not spread the infection anymore, this number is the sum of isolated, recovered and dead people) -R; the infection and immunization rates ",GitHub COVID-QA Dataset,27-Apr-20
What are the most common symptoms of COVID19,Fever and cough ,GitHub COVID-QA Dataset,27-Apr-20
How much similarity the SARS-COV-2 genome sequence has with SARS-COV,∼80% identity with SARS-CoV,GitHub COVID-QA Dataset,27-Apr-20
How does being a smoker impact COVID-19 patient outcomes,"smokers were 1.4 times more likely (RR=1.4, 95% CI: 0.98–2.00) to have severe symptoms of COVID-19 and approximately 2.4 times more likely to be admitted to an ICU, need mechanical ventilation or die compared to non-smokers (RR=2.4, 95% CI: 1.43–4.04)",GitHub COVID-QA Dataset,27-Apr-20
How long did it take to publish the full genomic sequence of SARS-CoV-2 after it was identified,2 weeks,GitHub COVID-QA Dataset,27-Apr-20
What type of test was initially developed to screen for SARS-CoV-2, reverse transcription polymerase chain reaction,GitHub COVID-QA Dataset,27-Apr-20
What could account for the dissemination of the 2019-nCOV virus across the whole body,"We propose that rampant coronavirus replication in pulmonary alveolus results in the breakdown of the alveolar vessel and the subsequent virus leakage into the blood flow, through which the virus is disseminated across the whole body. Then the virus succeeds in establishing reinfection in the digestive tract by using the highly expressed ACE2 receptor, which exacerbated the disease vice versa",GitHub COVID-QA Dataset,27-Apr-20
Is it possible to get infected with COVID and another virus,"Although the likelihood of coinfection of 2019-nCoV and another respiratory virus is thought to be low, a positive finding of another respiratory pathogen does not exclude the diagnosis of 2019-nCoV",GitHub COVID-QA Dataset,27-Apr-20
What is the Case fatality rate for MERS Coronavirus,Recent fatality rate (CFR) of 21%,GitHub COVID-QA Dataset,27-Apr-20
What other betacoronaviruses are zoonotic in origin,The severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV),GitHub COVID-QA Dataset,27-Apr-20
How much is the difference between the human SARS-CoV-2 and the bat RaTG13-CoV,"greater than 1,100 nt ",GitHub COVID-QA Dataset,27-Apr-20
How is the SARS-CoV-2 referred to, as coronavirus disease discovered in 2019 (COVID-19),GitHub COVID-QA Dataset,27-Apr-20
What was attributed to the spread of SARS-COV at Amoy Gardens,"through pressure differentials between contaminated effluent pipes, bathroom floor drains and flushing toilets ",GitHub COVID-QA Dataset,27-Apr-20
What orf8 length do Human SARS-CoVs isolated from early-phase patients all civet SARS-CoVs and other bat SARS-related CoVs contain,fulllength orf8,GitHub COVID-QA Dataset,27-Apr-20
Who was the first COVID-19 identified case patient on the Diamond Princess cruise ship,"case was diagnosed on 1 February, the ship was requested to remain in the ocean near Yokohama from 3 February onwards.",GitHub COVID-QA Dataset,27-Apr-20
When was the first case of COVID-19 identified,"Wuhan City, China",GitHub COVID-QA Dataset,27-Apr-20
What is the median time until death in MERS-COV,median time until death is 11-13 days (range 5-27 days) among severely ill patients,GitHub COVID-QA Dataset,27-Apr-20
What is the treatment for MERS-COV,"ere is no specific treatment for MERS-CoV. Like most viral infections, the treatment options are supportive and symptomatic",GitHub COVID-QA Dataset,27-Apr-20
How many states in the U.S. have reported cases of COVID-19,50,GitHub COVID-QA Dataset,27-Apr-20
