Question	Answer	Source	Date Accessed
Why early identification of covid patients can be difficult	Early identification of covid infection presents a major challenge	GitHub COVID-QA Dataset	27-Apr-20
When did we discover that covid was a novel covid	26-Jan-20	GitHub COVID-QA Dataset	27-Apr-20
What is the incubation period for MERS-COV	 incubation period of 16 days with a mean of 5-6 days [	GitHub COVID-QA Dataset	27-Apr-20
When did the United States declare covid a public health emergency	"January 31, 2020,"	GitHub COVID-QA Dataset	27-Apr-20
What is the acronym MERS-CoV	Middle East respiratory syndrome covid	GitHub COVID-QA Dataset	27-Apr-20
How long did it take China to build the temporary hospital in Wuhan for covid patients	10 days	GitHub COVID-QA Dataset	27-Apr-20
Where was hepcidin first discovered	human urine	GitHub COVID-QA Dataset	27-Apr-20
How many people did SARS-CoV infect	8000	GitHub COVID-QA Dataset	27-Apr-20
Which Human covid showed species specific clinical characteristics of its infection	HCoV‐HKU1	GitHub COVID-QA Dataset	27-Apr-20
How does gender influence MERS-COV infection	 MERS-CoV infects males more than females	GitHub COVID-QA Dataset	27-Apr-20
What test could give an indication for special care for covid patients	presence of viral RNA outside of the respiratory tract might herald the severity of the disease and alarm the requirement of special care	GitHub COVID-QA Dataset	27-Apr-20
When did the Chinese authorities share the sequence of a novel covid	12-Jan-20	GitHub COVID-QA Dataset	27-Apr-20
Is the orf1ab gene at the 3' or 5' end of the bovine covid genome	5= side	GitHub COVID-QA Dataset	27-Apr-20
What are the descriptive statistics for the onset-to-death for covid	"Gamma distributed with a mean of 18.8 days and a
coefficient of va riation 0.45"	GitHub COVID-QA Dataset	27-Apr-20
What is the molecular structure of bovine covid	"single-stranded, linear, and nonsegmented RNA"	GitHub COVID-QA Dataset	27-Apr-20
What is the effect of Chloroquine(CQ) and Hydroxychloroquine(HCQ) on endosomal maturation and endocytosis in covid treatment	"Since acidification is crucial for endosome maturation and function, we surmise that endosome maturation might be blocked at intermediate stages of endocytosis,"	GitHub COVID-QA Dataset	27-Apr-20
What could account for the high transmission rate of the covid virus	"Intensive structural analysis of the S protein of covid with the SARS-covid suggested that several critical residues in the viral spike protein might confer favourable interaction with human ACE2 [7] . Of note, ACE2 is also abundantly present in humans in the epithelia of the small intestine besides the respiratory tract and is ubiquitously present in endothelial cells [8] , which might provide possible routes of transmission, and might account for the high transmission capacity of the new virus. "	GitHub COVID-QA Dataset	27-Apr-20
What was the fatality rate for SARS-CoV	10%	GitHub COVID-QA Dataset	27-Apr-20
How do SARS-CoV viral proteins interact with the immune response	"several viral proteins suppress the type I IFN response, and other aspects of innate antiviral immunity"	GitHub COVID-QA Dataset	27-Apr-20
What is the contrast with SARS-COV and MERS=COV	" SARS-CoV (lineage B βCoV) and MERS-CoV (lineage C βCoV) may cause severe lower respiratory tract infection with acute respiratory distress syndrome and extrapulmonary manifestations, such as diarrhea, lymphopenia, deranged liver and renal function tests, and multiorgan dysfunction syndrome, among both immunocompetent and immunocompromised hosts with mortality rates of ∼10% and ∼35%, respectively "	GitHub COVID-QA Dataset	27-Apr-20
When did the World Health Organization (WHO) officially declare the covid epidemic as a Public Health Emergency of International Concern	30-Jan-20	GitHub COVID-QA Dataset	27-Apr-20
How many covid cases were confirmed on the Diamond Princess cruise ship	"Out of a total of 3711 persons (consisting of 2666 passengers and 1045 crew members), 199 symptomatic cases have been diagnosed on board as of 24 February, and additional asymptomatic infections and symptomatic cases after disembarkation have also been reported"	GitHub COVID-QA Dataset	27-Apr-20
What was the reservoir for SARS-CoV and MERS-CoV	animal reservoirs	GitHub COVID-QA Dataset	27-Apr-20
How does cell-entry differ between SARS-CoV and MERS-CoV	"SARS-CoV uses the ACE2 receptor to gain entry to cells, while MERS-CoV uses the ectopeptidase DPP4"	GitHub COVID-QA Dataset	27-Apr-20
What is the relationship between SARS-CoV and acute respiratory distress syndrome (ARDS)	" In some patients there is a progression to the more severe form of ALI, acute respiratory distress syndrome (ARDS)"	GitHub COVID-QA Dataset	27-Apr-20
How does the transmissibility of covid compare with other viruses	covid has potentially higher transmissibility (R0: 1.4-5.5) than both SARS-CoV (R0: [2] [3] [4] [5] and MERS-CoV (R0: 1)	GitHub COVID-QA Dataset	27-Apr-20
Why is it proposed that some bat SL-CoVs may be able to directly infect human hosts	Combined with evolutionary evidence that the bat ACE2 gene has been positively selected at the same contact sites as the human ACE2 gene for interacting with SARS CoV [	GitHub COVID-QA Dataset	27-Apr-20
What was the role of corticosteroid use in hospitalized patients with SARS-CoV	"Retrospective analysis revealed that, when given at the correct time and to the appropriate patients, corticosteroid use could decrease mortality and also length of hospital stays"	GitHub COVID-QA Dataset	27-Apr-20
What does the SARS-CoV protein activate	NLRP3 inflammasome	GitHub COVID-QA Dataset	27-Apr-20
What platform was instrumental in rapid sharing of covid information	Global Initiative on Sharing All Influenza Data (GISAID)	GitHub COVID-QA Dataset	27-Apr-20
How many covid cases were confirmed on the Diamond Princess cruise ship	199	GitHub COVID-QA Dataset	27-Apr-20
Evidence of Hydroxychloroquine(HCQ) being anti inflammatory in covid critically ill patients with elevated plasma cytokines	 HCQ is a safe and successful anti-inflammatory agent	GitHub COVID-QA Dataset	27-Apr-20
Where can published genomic sequences be found for the covid virus	Global Initiative on Sharing All Influenza Data (GISAID) (https://www.gisaid.org/)	GitHub COVID-QA Dataset	27-Apr-20
How do most bat SARSr-COV differ from covid and human SARS-COV	bat SARSr-CoVs have two stretches of deletions in the spike receptor binding domain (RBD) when compared with that of human SARS-CoV	GitHub COVID-QA Dataset	27-Apr-20
When does the infectivity of SARS-COV peak	"10 days after illness onset [7] , consistent with the peak in viral load at around that time"	GitHub COVID-QA Dataset	27-Apr-20
What is a recent discovery	Bat is believed to harbor many more viruses than we ever thought as a reservoir host or even a susceptible host 	GitHub COVID-QA Dataset	27-Apr-20
Which immune factors were associated with increased SARS-CoV morbidity and mortality	a higher neutrophil count and low T-cell counts	GitHub COVID-QA Dataset	27-Apr-20
What is the RNA of the covid	"29891 nucleotides in size, encoding 9860 amino acids"	GitHub COVID-QA Dataset	27-Apr-20
Why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the covid reproduction number	close spacing of interventions in time	GitHub COVID-QA Dataset	27-Apr-20
When did the WHO declare COVID to be a Public Health Emergency of International Concern	30-Jan-20	GitHub COVID-QA Dataset	27-Apr-20
What type of virus is covid	betacovid	GitHub COVID-QA Dataset	27-Apr-20
What were the common HCOV strains in the 5 year USA study	 HCoV-OC43 and HCoV-229E	GitHub COVID-QA Dataset	27-Apr-20
Why is it highly unlikely that RaTG13 CoV is the immediate source of covid	are distributed throughout the genome in a naturally occurring pattern following the evolutionary characteristics typical of CoVs	GitHub COVID-QA Dataset	27-Apr-20
What genes have been targeted for the diagnostic RT-PCR tests in covid	E and RdRp genes	GitHub COVID-QA Dataset	27-Apr-20
What's the recommended procedure to disinfect at CT scanner after a covid exposure	"The equipment in the contaminated area are wiped with 2000mg/L chlorine-containing disinfectant. The DR and CT gantry in the contaminated area are wiped with 75% ethanol. The equipment in the buffer area is wiped with 500-1000mg/L chlorine-containing disinfectant or alcohol-containing disposable disinfectant wipes twice a day."	GitHub COVID-QA Dataset	27-Apr-20
What is the acronym covid	severe acute respiratory syndrome covid 2 	GitHub COVID-QA Dataset	27-Apr-20
What is required for a person to survive a serious SARS-CoV infection	" a successful host must not only be able to clear the pathogen, but tolerate damage caused by the pathogen itself and also by the host's immune response"	GitHub COVID-QA Dataset	27-Apr-20
What factor positively correlates with imported-and-reported cases counts of covid infection	daily air travel volume	GitHub COVID-QA Dataset	27-Apr-20
What are main steps for mitigating covid transmission during transport of suspected and confirmed patients	"firstly, early recognition of the deteriorating patient; secondly, HCW safety; thirdly, bystander safety; fourthly, contingency plans for medical emergencies during transport; fifthly, post-transport decontamination"	GitHub COVID-QA Dataset	27-Apr-20
What is the recovery benefit of carageenan in patients with any respiratory virus	1.9 day faster recovery from common cold symptoms than placebo treated patients in the intention-to-treat population	GitHub COVID-QA Dataset	27-Apr-20
What is the family of the SARS covid	Coronaviridae	GitHub COVID-QA Dataset	27-Apr-20
For whom does the covid pose a great threat	"those in complex humanitarian crises, which lack the infrastructure, support, and health systems to mount a comprehensive response. "	GitHub COVID-QA Dataset	27-Apr-20
What kind of masks are recommended to protect healthcare workers from covid exposure	N95 mask	GitHub COVID-QA Dataset	27-Apr-20
"With the intervention of movement restrictions starting on 5th February 2020 what were the confirmed cases for covid were limited to"	"102 and 47 cases, respectively."	GitHub COVID-QA Dataset	27-Apr-20
What age group had the most MERS-COV infections	majority of confirmed cases of MERS-CoV were reported among people aged 40 and above	GitHub COVID-QA Dataset	27-Apr-20
What is the distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine covid variants	544 base pairs	GitHub COVID-QA Dataset	27-Apr-20
What do HCoV-OC43 and HCoV-HKU1 cause	self-limiting upper respiratory infections in immunocompetent hosts and occasionally lower respiratory tract infections in immunocompromised hosts and elderly 	GitHub COVID-QA Dataset	27-Apr-20
What thickness of layers is recommended for CT image reconstruction in covid assessment	1 mm-thick layers	GitHub COVID-QA Dataset	27-Apr-20
What animals do gamma and delta covid mainly infect	birds	GitHub COVID-QA Dataset	27-Apr-20
What is the role of computed tomography (CT) in covid	"diagnosing and categorizing
covid on the basis of case definitions issued by the WHO"	GitHub COVID-QA Dataset	27-Apr-20
What is the estimated infection-to-death distribution's mean for covid	23.9 days	GitHub COVID-QA Dataset	27-Apr-20
How does covid get spread	close contact with an infected person	GitHub COVID-QA Dataset	27-Apr-20
What type of virus is covid	betacovid	GitHub COVID-QA Dataset	27-Apr-20
Is the SARS covid enveloped	enveloped	GitHub COVID-QA Dataset	27-Apr-20
How many laboratory-confirmed cases of SARS covid infections were reported between November 2002 and July 2003	"At least 8,098"	GitHub COVID-QA Dataset	27-Apr-20
What kind of test can diagnose covid	rRT-PCR test	GitHub COVID-QA Dataset	27-Apr-20
When was World Health Organization (WHO) first notified about the covid epidemic in Wuhan City China	31-Dec	GitHub COVID-QA Dataset	27-Apr-20
What are ways in which covid is transmitted	"We found the presence of covid in anal swabs and blood as well, and more anal swab positives than oral swab positives in a later stage of infection, suggesting shedding and thereby transmitted through oral–fecal route."	GitHub COVID-QA Dataset	27-Apr-20
How does transmission differ between SARS-CoV and MERS-CoV	" SARS-CoV also spreads more rapidly between hosts, while MERS-CoV has been more easily contained, but it is unclear if this is due to the affected patient populations and regions"	GitHub COVID-QA Dataset	27-Apr-20
How long did it take to identify the cause of covid	4 weeks	GitHub COVID-QA Dataset	27-Apr-20
What is the role of interferon's (IFNs) in the treatment of SARS-CoV	 there is some evidence that simultaneous treatment with IFNs could increase the potential benefits	GitHub COVID-QA Dataset	27-Apr-20
When was the first local transmission of COVID reported in the United States	30-Jan-20	GitHub COVID-QA Dataset	27-Apr-20
Why exposure risk of covid is very high for ICU staff and what precautions should be taken	 substantial exposure risk for ICU staff because of the following reasons	GitHub COVID-QA Dataset	27-Apr-20
Where did covid originate	"Wuhan City, China"	GitHub COVID-QA Dataset	27-Apr-20
When was COVID surveillance implemented in European region	27-Jan-20	GitHub COVID-QA Dataset	27-Apr-20
what similarity human SARS-COV and palm civet SARSlike COV share	" 99.8% homology, with a total of 202 single-nucleotide (nt) variations (SNVs) identified across the genome "	GitHub COVID-QA Dataset	27-Apr-20
When was SARS-CoV first identified	2003	GitHub COVID-QA Dataset	27-Apr-20
What are covids	"covids are spherical, enveloped, and the largest of positive-strand RNA v"	GitHub COVID-QA Dataset	27-Apr-20
Where was the second reported case of COVID in the United States	Chicago	GitHub COVID-QA Dataset	27-Apr-20
How is covid transmitted	"covid was transmitted through respiratory tract and then induced pneumonia,"	GitHub COVID-QA Dataset	27-Apr-20
How many amino acids are in the SARS-CoV E protein	76 amino acids	GitHub COVID-QA Dataset	27-Apr-20
Is oral swab for detecting covid infection sufficient	" patients infected with covid may harbour the virus in the intestine at the early or late stage of disease. It is also worth to note none of the patients with viremia blood had positive swabs. These patients would likely be considered as covid negative through routine surveillance, and thus pose a threat to other people."	GitHub COVID-QA Dataset	27-Apr-20
Which is the source animal for the MERS-COV	Dromedary camels are the major animal source of MERS-CoV transmission to humans.	GitHub COVID-QA Dataset	27-Apr-20
Why is important to determine the spectrum of clinical manifestations of covid infections	because it determines the strength of public health response required.	GitHub COVID-QA Dataset	27-Apr-20
Who is at greater risk of dying from covid	patients with underlying medical conditions and the elderly	GitHub COVID-QA Dataset	27-Apr-20
When was the first case of covid confirmed in the USA	15-Jan-20	GitHub COVID-QA Dataset	27-Apr-20
How do the S1 subunits compare with that of SARS-likeCOV and human SARS-COV	"Though the S1 subunit of covid shares around 70% identity to that of the two bat SARS-like CoVs and human SARS-CoV (Figure 3(A) ), the core domain of RBD (excluding the external subdomain) are highly conserved ("	GitHub COVID-QA Dataset	27-Apr-20
What was done to test if an intermediate host may not be necessary and that some bat SL-CoVs may be able to directly infect human hosts	the exact S gene from bat covid SL-SHC014 was synthesized and used to generate a chimeric virus in the mouse adapted MA15 SARS-CoV backbone. 	GitHub COVID-QA Dataset	27-Apr-20
What was the covid reservoir	the seafood market	GitHub COVID-QA Dataset	27-Apr-20
How can the covid spread	" from person to person,"	GitHub COVID-QA Dataset	27-Apr-20
What is an example of a case-based measure against covid	"strong recommendations or laws to the general
public and primary care about self—isolation when showing covid-like symptoms"	GitHub COVID-QA Dataset	27-Apr-20
In what species did the covid virus likely originate	bats	GitHub COVID-QA Dataset	27-Apr-20
What was the primary threatening clinical finding in patients infected with SARS-CoV and MERS-CoV	severe lung pathology	GitHub COVID-QA Dataset	27-Apr-20
When was the second covid case reported in the US	24-Jan-20	GitHub COVID-QA Dataset	27-Apr-20
How do SARS-CoV and MERS-CoV evade the immune system sensing it's genome	SARS-CoV and MERS-CoV are contained in double membrane vesicles	GitHub COVID-QA Dataset	27-Apr-20
What is the prognostic role of coinfection in SARS-CoV and MERS-CoV infections	One factor that increased disease for patients infected with SARS-CoV and MERS-CoV was infection with other viruses or bacteria	GitHub COVID-QA Dataset	27-Apr-20
What is the global coverage of influenza and pneumonia vaccines	" By the end of 2015, Haemophilus influenzae type B conjugate vaccination had been introduced in 73 countries, with global coverage estimated at 68%. However, inequities are still apparent among regions: in the Americas coverage is estimated at 90%, while in the Western Pacific it is only 25%. By 2015, pneumococcal conjugate vaccination had been introduced into 54 countries, with global coverage of 35% for three doses of pneumococcal conjugate vaccination for infant populations"	GitHub COVID-QA Dataset	27-Apr-20
What type of covid was detected in R. affinis and R. sinicus species	BtCoV/Rh/YN2012	GitHub COVID-QA Dataset	27-Apr-20
What role does initial viral titer play in the prognosis of SARS-CoV and MERS-CoV	In patients with high initial viral titers there is a poor prognosis	GitHub COVID-QA Dataset	27-Apr-20
How does the pathogenicity of covid compare with other viruses	"Based on current evidence, pathogenicity for covid is about 3%, which is significantly lower than SARS-CoV (10%) and MERS-CoV (40%)"	GitHub COVID-QA Dataset	27-Apr-20
"In addition to oral swabs which tests detected the presence of covid virus"	the 2109-nCoV RNA was readily detected in the blood (6 of 57 patients) and the anal swabs (11 of 28 patients). 	GitHub COVID-QA Dataset	27-Apr-20
Why were civets proposed to be an intermediate host of the bat-CoVs capable of spreading SARS CoV to humans	"t was proposed that the S gene from bat-derived CoV, unlike that from human patients-or civetsderived viruses, was unable to use human ACE2 as a receptor for entry into human cells "	GitHub COVID-QA Dataset	27-Apr-20
Why is there high uncertainty in estimating the impact of interventions against the covid	"too early to detect substantial
intervention impact in many countries at earlier stages of their epidemic"	GitHub COVID-QA Dataset	27-Apr-20
What is the estimated mean incubation period for covid infection on the Diamond Princess cruise ship	about 5.0 days	GitHub COVID-QA Dataset	27-Apr-20
What is the size of the orf1ab gene in bovine covid	20kb	GitHub COVID-QA Dataset	27-Apr-20
Estimated number of people in Italy infected with covid by March 28th	"cumulatively, 5.9 [1.9-15.2] million people have been
infected as of March 28th"	GitHub COVID-QA Dataset	27-Apr-20
What type of ion channels are formed by the SARS-CoV E protein	Ca 2+ -permeable	GitHub COVID-QA Dataset	27-Apr-20
What was the time period of peak infection of covid on the Diamond Princess cruise ship	"2 to 4 February 2020,"	GitHub COVID-QA Dataset	27-Apr-20
What is the timeline of the type I interferon (IFN) response in SARS-CoV infection	"In a mouse model of SARS-CoV infection, the type I IFN response is delayed"	GitHub COVID-QA Dataset	27-Apr-20
What percentage of people infected with SARS-CoV died	10%	GitHub COVID-QA Dataset	27-Apr-20
What are the most revealing signs that covid evolved by natural evolution	The absence of a logical targeted pattern in the new viral sequences and a close relative in a wildlife species (bat	GitHub COVID-QA Dataset	27-Apr-20
How is covid spread	person-to-person	GitHub COVID-QA Dataset	27-Apr-20
What can be the main challenges in managing a hospital outbreak of covid	" (1) early identification of outbreak, (2) rapid expansion of patients, (3) high risk of nosocomial transmission, (4) unpredictability of size impacted, and (5) lack of backup resource."	GitHub COVID-QA Dataset	27-Apr-20
When was covid first identified	19-Dec	GitHub COVID-QA Dataset	27-Apr-20
What is a natural reservoir of covid	Bats	GitHub COVID-QA Dataset	27-Apr-20
How many types of covids are known to cause human disease	Six	GitHub COVID-QA Dataset	27-Apr-20
What is the structure of the covid	"enveloped, non-segmented, positive-strand RNA viruses"	GitHub COVID-QA Dataset	27-Apr-20
When was the first passenger patient on the Diamond Princess cruise ship diagnosed with covid	he case was diagnosed on 1 February	GitHub COVID-QA Dataset	27-Apr-20
What spurred the discovery of the new vector Ae. albopictus	"The 2005-2006 epidemic of CHIKV in La Reunion islands in the Indian Ocean,"	GitHub COVID-QA Dataset	27-Apr-20
What was the prevalence of covid OC43 in community samples in Ilorin Nigeria	13.3% (95% CI 6.9-23.6%)	GitHub COVID-QA Dataset	27-Apr-20
"What was the prevalence of covid OC 229 E/NL63 in clinical subjects in Ilorin, Nigeria"	12.50%	GitHub COVID-QA Dataset	27-Apr-20
How are covid and SARS-COV similar	There are no remarkable differences between the orfs and nsps	GitHub COVID-QA Dataset	27-Apr-20
What symptoms might people experience with covid	patients with underlying medical conditions and the elderly	GitHub COVID-QA Dataset	27-Apr-20
What is the doubling time of the covid pandemic	6 days	GitHub COVID-QA Dataset	27-Apr-20
Is the SARS covid single-stranded or double-stranded	single-stranded	GitHub COVID-QA Dataset	27-Apr-20
What is the genome size of the covid	26-32 kb	GitHub COVID-QA Dataset	27-Apr-20
What are the descriptive statistics for the incubation period for covid	"distribution is Gamma distributed with mean 5.1 days and coefficient of variation
0.86"	GitHub COVID-QA Dataset	27-Apr-20
When was the novel covid first reported	19-Dec	GitHub COVID-QA Dataset	27-Apr-20
Use of SIR/SEIR model in Statistics-Based Predictions of covid Epidemic Spreading	"susceptible persons is S, infected (persons who are sick and spread the infection) -I, removed (persons who do not spread the infection anymore, this number is the sum of isolated, recovered and dead people) -R; the infection and immunization rates "	GitHub COVID-QA Dataset	27-Apr-20
What are the most common symptoms of covid	Fever and cough 	GitHub COVID-QA Dataset	27-Apr-20
How much similarity the covid genome sequence has with SARS-COV	∼80% identity with SARS-CoV	GitHub COVID-QA Dataset	27-Apr-20
How does being a smoker impact covid patient outcomes	"smokers were 1.4 times more likely (RR=1.4, 95% CI: 0.98–2.00) to have severe symptoms of covid and approximately 2.4 times more likely to be admitted to an ICU, need mechanical ventilation or die compared to non-smokers (RR=2.4, 95% CI: 1.43–4.04)"	GitHub COVID-QA Dataset	27-Apr-20
How long did it take to publish the full genomic sequence of covid after it was identified	2 weeks	GitHub COVID-QA Dataset	27-Apr-20
What type of test was initially developed to screen for covid	 reverse transcription polymerase chain reaction	GitHub COVID-QA Dataset	27-Apr-20
What could account for the dissemination of the covid virus across the whole body	"We propose that rampant covid replication in pulmonary alveolus results in the breakdown of the alveolar vessel and the subsequent virus leakage into the blood flow, through which the virus is disseminated across the whole body. Then the virus succeeds in establishing reinfection in the digestive tract by using the highly expressed ACE2 receptor, which exacerbated the disease vice versa"	GitHub COVID-QA Dataset	27-Apr-20
Is it possible to get infected with COVID and another virus	"Although the likelihood of coinfection of covid and another respiratory virus is thought to be low, a positive finding of another respiratory pathogen does not exclude the diagnosis of covid"	GitHub COVID-QA Dataset	27-Apr-20
What is the Case fatality rate for MERS covid	Recent fatality rate (CFR) of 21%	GitHub COVID-QA Dataset	27-Apr-20
What other betacovids are zoonotic in origin	The severe acute respiratory syndrome covid (SARS-CoV) and Middle East respiratory syndrome covid (MERS-CoV)	GitHub COVID-QA Dataset	27-Apr-20
How much is the difference between the human covid and the bat RaTG13-CoV	"greater than 1,100 nt "	GitHub COVID-QA Dataset	27-Apr-20
How is the covid referred to	 as covid disease discovered in 2019 (covid)	GitHub COVID-QA Dataset	27-Apr-20
What was attributed to the spread of SARS-COV at Amoy Gardens	"through pressure differentials between contaminated effluent pipes, bathroom floor drains and flushing toilets "	GitHub COVID-QA Dataset	27-Apr-20
What orf8 length do Human SARS-CoVs isolated from early-phase patients all civet SARS-CoVs and other bat SARS-related CoVs contain	fulllength orf8	GitHub COVID-QA Dataset	27-Apr-20
Who was the first covid identified case patient on the Diamond Princess cruise ship	"case was diagnosed on 1 February, the ship was requested to remain in the ocean near Yokohama from 3 February onwards."	GitHub COVID-QA Dataset	27-Apr-20
When was the first case of covid identified	"Wuhan City, China"	GitHub COVID-QA Dataset	27-Apr-20
What is the median time until death in MERS-COV	median time until death is 11-13 days (range 5-27 days) among severely ill patients	GitHub COVID-QA Dataset	27-Apr-20
What is the treatment for MERS-COV	"ere is no specific treatment for MERS-CoV. Like most viral infections, the treatment options are supportive and symptomatic"	GitHub COVID-QA Dataset	27-Apr-20
How many states in the U.S. have reported cases of covid	50	GitHub COVID-QA Dataset	27-Apr-20
Where and when was covid first identified	"s first identified in Wuhan, China"	GitHub COVID-QA Dataset	27-Apr-20
What are covides	"covides (CoVs) are enveloped, positive-sense, single-stranded RNA viruses that belong to the subfamily Coronavirinae, family Coronavirdiae, order Nidovirales."	GitHub COVID-QA Dataset	27-Apr-20
How did the SARS-CoV gain elevated replication and lung pathogenesis in aged mice	due to six coding genetic mutations associated with mouse adaptation. 	GitHub COVID-QA Dataset	27-Apr-20
Why are Nucleic amplification tests (NAAT) usually preferred as in the case of MERS-CoV diagnosis	it has the highest sensitivity at the earliest time point in the acute phase of infection 	GitHub COVID-QA Dataset	27-Apr-20
What do mild clinical presentations of covid indicate	that there could be many more mild infections than severe infections	GitHub COVID-QA Dataset	27-Apr-20
What is the difference between the Tokachi09 and Irish covid genomic sequences	148-nucleotide insertion	GitHub COVID-QA Dataset	27-Apr-20
Mechanism of action of Chloroquine(CQ) and Hydroxychloroquine(HCQ) against covid	CQ and HCQ are weak bases that are known to elevate the pH of acidic intracellular organelles	GitHub COVID-QA Dataset	27-Apr-20
Where have most outbreaks of equine covid occurred in the United States	"adult riding, racing and show horses"	GitHub COVID-QA Dataset	27-Apr-20
What is the name of the disease caused buy covid	covid disease 2019 (COVID -19)	GitHub COVID-QA Dataset	27-Apr-20
