Question	Answer	Source	Date Retrieved
could plasma be a treatment for covid	-	Author Generated	-
was plasma successful in treating covid patients	-	Author Generated	-
can antibiotics kill covid	-	Author Generated	-
is covid weak to antibiotics	-	Author Generated	-
can covid be treated with antibiotics	-	Author Generated	-
do I need to stock up on food	-	Author Generated	-
could we run out of things to eat	-	Author Generated	-
can I test my pet for covid	-	Author Generated	-
will pets be tested for covid	-	Author Generated	-
are covid tests being used on pets	-	Author Generated	-
am I able to test my pet for covid	-	Author Generated	-
are contacts likely to spread covid	-	Author Generated	-
is it better to wear glasses than contacts	-	Author Generated	-
am I more likely to get covid from contacts	-	Author Generated	-
can contacts put me at risk for covid	-	Author Generated	-
do certain blood types have less chance of getting covid	-	Author Generated	-
what is the relationship between blood type and risk of covid infection	-	Author Generated	-
how is there still not a vaccine or cure for covid	-	Author Generated	-
how are medical workers being infected	-	Author Generated	-
in what ways can covid infect medical staff	-	Author Generated	-
how is covid infecting medical worekrs	-	Author Generated	-
for what reasons are hospital workers being exposed to covid	-	Author Generated	-
can you have two viruses at once	-	Author Generated	-
can you get covid if you already have the flu	-	Author Generated	-
am I at risk for covid if I have the flu	-	Author Generated	-
will having the flu prevent me from getting covid	-	Author Generated	-
can I be infected by someone who recovered from covid	-	Author Generated	-
are recovered covid patients still contagious	-	Author Generated	-
will I get covid by being near someone who recovered from covid	-	Author Generated	-
do recovered covid patients infect people	-	Author Generated	-
are there any steps I should take if I think someone I live with has covid	-	Author Generated	-
how can I stay safe if someone I live with gets covid	-	Author Generated	-
if a family member gets sick from covid what do I do	-	Author Generated	-
are there any steps that suspected covid patients should take	-	Author Generated	-
what are the procedures that i should take if i think i have covid	-	Author Generated	-
how is the novel covid different	-	Author Generated	-
what does it mean that covid is novel	-	Author Generated	-
how should parents keep children safe	-	Author Generated	-
what is the best way to make sure my child wont get infected	-	Author Generated	-
are there any recommended ways to protect children from covid	-	Author Generated	-
what should I do to stop my kids from getting covid	-	Author Generated	-
how can I make sure my child continues to get their education	-	Author Generated	-
what steps should I take to ensure my child keeps learning	-	Author Generated	-
if school is cancelled how will my kid learn	-	Author Generated	-
is my child still able to learn while in lockdown	-	Author Generated	-
what is the best way to deal with stress during lockdown	-	Author Generated	-
how can families get ready for lockdown	-	Author Generated	-
what can I do to prepare my family for a covid outbreak	-	Author Generated	-
how should people in the same house get ready for covid	-	Author Generated	-
is there anything I can do to help my family prepare for covid	-	Author Generated	-
what is the most effective way to kill covid	-	Author Generated	-
are there any recommended products for disinfecting covid	-	Author Generated	-
how can I best kill covid	-	Author Generated	-
is there anything I can use to kill covid	-	Author Generated	-
how do I know if I need to be tested	-	Author Generated	-
do I need to get tested	-	Author Generated	-
are there requirements to be tested	-	Author Generated	-
can I test myself for covid just in case	-	Author Generated	-
what do I do if my family member dies from covid in foreign country	-	Author Generated	-
is there a procedure to follow if covid kills one of my family members overseas	-	Author Generated	-
how can I get my family member who died of covid overseas	-	Author Generated	-
will I be able to get the remains of my relative if they died of covid in a foreign country	-	Author Generated	-
can I use radiation to kill covid	-	Author Generated	-
what animals are affected by covid	-	Author Generated	-
is it possible for animals in the wilderness to carry covid	-	Author Generated	-
will I get covid from a wild animal	-	Author Generated	-
should I be concerned about a wild animal giving me covid	-	Author Generated	-
is it risky to be near wild animals	-	Author Generated	-
how big is bovine covid	-	Author Generated	-
have scientists determined the structure of bovine covid	-	Author Generated	-
do we know bovine covids structure	-	Author Generated	-
is the structure of bovine covid known	-	Author Generated	-
is there a correlation between severity and anal swab tests	-	Author Generated	-
does the presence of covid in anal swabs determine how severe it is	-	Author Generated	-
have anal swab tests been linked with case severity	-	Author Generated	-
can case severity be predicted based on anal swabs	-	Author Generated	-
which disease does covid cause	-	Author Generated	-
are there other illnesses that result from covid	-	Author Generated	-
what other disease will covid result in	-	Author Generated	-
can covid cause secondary illnesses	-	Author Generated	-
what was the time needed to get the full sequence of covid	-	Author Generated	-
how long was the delay between noticing covid and getting its genome	-	Author Generated	-
when did we learn the sequence of covid	-	Author Generated	-
how long was needed to get covids full genome sequence	-	Author Generated	-
what type of facemask should I use	-	Author Generated	-
which face mask protects me from covid	-	Author Generated	-
is there a specific mask I should use to prevent covid	-	Author Generated	-
are sars cov and covid related	-	Author Generated	-
what is the relation between sars cov and covid	-	Author Generated	-
is sars and covid the same thing	-	Author Generated	-
will covid result in permanent damage	-	Author Generated	-
are there any permanent effects of covid	-	Author Generated	-
is it safe for covid patients to take ibuprofen	-	Author Generated	-
can I use ibuprofen if I have covid	-	Author Generated	-
can covid be treated with ibuprofen	-	Author Generated	-
will ibuprofen have adverse effects on covid patients	-	Author Generated	-
what are the beginning symptoms for covid	-	Author Generated	-
how do covid symptom start	-	Author Generated	-
is there a predictable initial symptom of covid	-	Author Generated	-
what makes covid particularly dangerous	-	Author Generated	-
what makes covid more dangerous than sars	-	Author Generated	-
how is covid dangerous	-	Author Generated	-
is covid the end of humanity	-	Author Generated	-
is the world going to end because of covid	-	Author Generated	-
could covid kill all humans	-	Author Generated	-
how does covid differ from the flu	-	Author Generated	-
what are the differences between influenza and covid	-	Author Generated	-
how can we distinguish between covid and the flu	-	Author Generated	-
are there ways to tell if its covid or flu	-	Author Generated	-
are there covids before this one	-	Author Generated	-
was covid preceded by covid 18	-	Author Generated	-
in what ways have people been affected by covid	-	Author Generated	-
what strategies did china use to stop covid	-	Author Generated	-
how was china able to control covid so well	-	Author Generated	-
which stocks are the most profitable during covid	-	Author Generated	-
will i be able to make money by buying stocks	-	Author Generated	-
what will the effects of covid be on the election	-	Author Generated	-
in what ways has the it industry been affected by covid	-	Author Generated	-
how has covid affected the it industry	-	Author Generated	-
can we blame trump for covid	-	Author Generated	-
is trump to blame for the covid outbreak	-	Author Generated	-
what is the relationship between age and risk of covid	-	Author Generated	-
is it possible for kids to get covid	-	Author Generated	-
for what reason is the stock market affected by covid	-	Author Generated	-
what is the reasoning behind covid affecting the stock market	-	Author Generated	-
what would be the best way to hold china accountable for covid	-	Author Generated	-
is there any way to penalize china for covid	-	Author Generated	-
have we made progress in the fight against covid	-	Author Generated	-
have our efforts against covid helped	-	Author Generated	-
was trump serious when suggesting to fight covid with disinfectant injections	-	Author Generated	-
when he suggested that injecting disinfectant could cure covid was trump joking	-	Author Generated	-
what is the predicted number of deaths due to covid	-	Author Generated	-
how many deaths will covid ultimately cause	-	Author Generated	-
