Question	Answer	Source	Date Retrieved
Why do so many people believe there is a connection between covid and 5G technology	-	Quora	7-May-20
Is China being truthful about the number of deaths due to the covid or is it much higher	-	Quora	7-May-20
Is covid a man made virus	-	Quora	7-May-20
What is the likely impact of covid on the US economy	-	Quora	7-May-20
Why are so many people not taking the covid threat seriously	-	Quora	7-May-20
Was covid created in a lab	-	Quora	7-May-20
What are some tips to help prepare in the event that covid becomes a pandemic	-	Quora	7-May-20
Why do some people believe that covid is a bioweapon	-	Quora	7-May-20
What should you do if you suspect you have covid	-	Quora	7-May-20
How has China gotten covid under control	-	Quora	7-May-20
Which is the best business to start amidst covid	-	Quora	7-May-20
What is the current status of the covid vaccine	-	Quora	7-May-20
How many deaths do you expect from the covid when the pandemic is finally over	-	Quora	7-May-20
For the sake of discussion what do you think the chances are of covid being a biologically engineered weapon	-	Quora	7-May-20
Will the vaccination developed for covid be mandatory	-	Quora	7-May-20
With the stock market down due to the covid is it a good time to buy or sell your stocks	-	Quora	7-May-20
How is life under lockdown due to covid	-	Quora	7-May-20
Which businesses are booming because of covid	-	Quora	7-May-20
Can you catch a covid more than once	-	Quora	7-May-20
Does covid expose any flaws in capitalism	-	Quora	7-May-20
Can the virus that causes covid be transmitted through the air	-	Quora	7-May-20
Will the covid affect President Donald Trump’s re-election	-	Quora	7-May-20
Has anyone actually recovered from the covid virus	-	Quora	7-May-20
Will china become superpower after covid	-	Quora	7-May-20
What does COVID mean	-	Quora	7-May-20
What are the bad impacts of the covid	-	Quora	7-May-20
Where did covid come from	-	Quora	7-May-20
What is hydroxylchloroquine and is it effective in the treatment of covid	-	Quora	7-May-20
Why doesn't China apologize for causing covid	-	Quora	7-May-20
Should landlords forgive rent during the economic shutdown caused by covid	-	Quora	7-May-20
Are you worried about covid	-	Quora	7-May-20
Is covid bio-engineered	-	Quora	7-May-20
How long do you think the covid pandemic will last in America	-	Quora	7-May-20
How are you coping during the covid crisis	-	Quora	7-May-20
Are we winning the war against covid	-	Quora	7-May-20
How is the IT industry coping with the covid situation	-	Quora	7-May-20
How do we cope with stress during covid	-	Quora	7-May-20
Which foods boost immunity to viruses such as covid	-	Quora	7-May-20
Do you think they will make a movie about covid	-	Quora	7-May-20
Are you bored with staying at home due to covid	-	Quora	7-May-20
How likely is it that the covid virus was created by the Chinese as a biological weapon	-	Quora	7-May-20
What will be some unexpected outcomes of the 2020 covid pandemic	-	Quora	7-May-20
Which stocks should I buy during the covid outbreak	-	Quora	7-May-20
How are you using the sudden surplus of time you have due to the covid social distancing and closures	-	Quora	7-May-20
What are suggestions for things to do in the covid quarantine	-	Quora	7-May-20
Can wearing a face mask prevent covid	-	Quora	7-May-20
Why are the naysayers saying the covid isn’t real	-	Quora	7-May-20
Will covid stay and last forever	-	Quora	7-May-20
Is there a vaccine for the covid	-	Quora	7-May-20
What are some common misconceptions about covid	-	Quora	7-May-20
For how long do people stay infected with covid	-	Quora	7-May-20
How could the covid outbreak trigger a major economic recession in the US	-	Quora	7-May-20
Will real estate prices go down with the covid panic	-	Quora	7-May-20
How much will the stock market go down due to covid pandemic	-	Quora	7-May-20
Who discovered the novel covid	-	Quora	7-May-20
Will there be a COVID-20 or higher	-	Quora	7-May-20
Is the USA lying about the covid data	-	Quora	7-May-20
Are Chinese citizens protesting the lockdown imposed since the spread of the covid virus	-	Quora	7-May-20
What type of face mask is recommended to prevent catching covid	-	Quora	7-May-20
What do you think will be the new 'normal' after covid	-	Quora	7-May-20
Is it safe to invest in buying property during covid	-	Quora	7-May-20
Have your views towards China changed after the burst of covid	-	Quora	7-May-20
What aren't they telling us about covid	-	Quora	7-May-20
In covid what is the meaning of 19 here	-	Quora	7-May-20
Does UV light kill the covid	-	Quora	7-May-20
Who is the most affected by covid	-	Quora	7-May-20
How has covid affected animals	-	Quora	7-May-20
How deadly is covid to pets	-	Quora	7-May-20
Could covid wipe out the human race	-	Quora	7-May-20
Why is diabetes a risk factor for covid	-	Quora	7-May-20
What is China doing to stop the spread of covid	-	Quora	7-May-20
Why is the vaccine for covid taking so long	-	Quora	7-May-20
What is the one thing you want to do when covid is over	-	Quora	7-May-20
Are you confident with the way Donald Trump is handling the covid epidemic	-	Quora	7-May-20
Is there a country whose people are not exposed to covid	-	Quora	7-May-20
How unlikely is it that covid is the end of humanity as we know it	-	Quora	7-May-20
Can taking vitamin C boost your body's resistance to covid	-	Quora	7-May-20
Does a history of smoking tobacco increase one's risk of catching covid	-	Quora	7-May-20
Can plasma from covid survivors treat others	-	Quora	7-May-20
What is the temperature required to kill covid	-	Quora	7-May-20
What will happen if the president of the USA gets covid	-	Quora	7-May-20
Is covid dangerous for those who vape	-	Quora	7-May-20
How quickly can the covid virus spread	-	Quora	7-May-20
Is there any proof that the covid was naturally occurring or man-made	-	Quora	7-May-20
Why aren’t you afraid of the covid/covid	-	Quora	7-May-20
Why is no one able to find medicine for covid	-	Quora	7-May-20
Can covid permanently damage the lungs of an infected person	-	Quora	7-May-20
Is China going to pay reparations for the covid virus	-	Quora	7-May-20
Why is the covid named covid	-	Quora	7-May-20
Which business sectors will be the most affected from the new emerging covid (covid)	-	Quora	7-May-20
Will warmer temperatures start to slow down the spread of covid	-	Quora	7-May-20
What have been and what will be the consequences of covid on e-commerce	-	Quora	7-May-20
How do you feel about the way Sweden is handling the covid crisis	-	Quora	7-May-20
What kind of work can I do from home due to the covid epidemic	-	Quora	7-May-20
How is Trump dealing with the covid What should he be doing or not doing	-	Quora	7-May-20
Which country has had the most deaths due to covid	-	Quora	7-May-20
How is North Korea dealing with covid	-	Quora	7-May-20
How much longer do we need to wait to get a medicine for the covid (2019)	-	Quora	7-May-20
Can covid be contracted from a package in the mail	-	Quora	7-May-20
Could covid virus mutate to a deadlier strain of virus for humans	-	Quora	7-May-20
What are the biggest business opportunities amid the covid pandemic	-	Quora	7-May-20
Was the covid virus intentionally released on the population by the Chinese government	-	Quora	7-May-20
Will covid cause an economic depression	-	Quora	7-May-20
How is China winning the war against covid	-	Quora	7-May-20
Is there any scientific evidence that 5G technology linked with the spread of covid	-	Quora	7-May-20
Is there covid in the United States of America	-	Quora	7-May-20
How do I get an antibody test for covid	-	Quora	7-May-20
Has the covid virus mutated yet	-	Quora	7-May-20
What are some interesting examples of before and after covid photos	-	Quora	7-May-20
Is covid really as bad as the media and some people make it seem	-	Quora	7-May-20
How did Covid affect chartered accountants and students	-	Quora	7-May-20
Are some people naturally immune to covid	-	Quora	7-May-20
How does covid affect the technology industry	-	Quora	7-May-20
What long-term implications will covid have	-	Quora	7-May-20
Will the corona virus (covid) affect summer vacation plans	-	Quora	7-May-20
Is covid actually contained in China	-	Quora	7-May-20
Why is Russia safe from the covid	-	Quora	7-May-20
Will India be affected by the covid (covid) as badly as Italy	-	Quora	7-May-20
Is the new covid (covid) a biological weapon blasted against China’s economy	-	Quora	7-May-20
Did astrology predict covid	-	Quora	7-May-20
Will the stock market recover from this blow due to covid (covid)	-	Quora	7-May-20
What is the impact of covid (covid) on the aviation industry	-	Quora	7-May-20
What is the biggest lie ever told by China to the world on covid	-	Quora	7-May-20
How effective are hand sanitizers like Purell against covid	-	Quora	7-May-20
Is the world going to end as a result of covid	-	Quora	7-May-20
How and why will covid affect the USA differently than other countries	-	Quora	7-May-20
What is the scientific name of covid	-	Quora	7-May-20
Will the “seniors-only” shopping hours keep the elderly safer during the covid emergency	-	Quora	7-May-20
What will happen if covid is not controlled and spread all over the world	-	Quora	7-May-20
Which countries are going to suffer from the economic effects of covid	-	Quora	7-May-20
What is the covid fatality rate	-	Quora	7-May-20
Do you believe covid is a hoax	-	Quora	7-May-20
When do you think the world will stabilize after covid ends	-	Quora	7-May-20
How are you planning to spend the next 21 curfew days due to COVID	-	Quora	7-May-20
Who is Patient Zero for the covid virus	-	Quora	7-May-20
Who found the vaccine for covid	-	Quora	7-May-20
Why are twice as many men dying from the covid than women	-	Quora	7-May-20
How dangerous is the Hantavirus in comparison with the covid	-	Quora	7-May-20
What are you doing to spend time while staying home due to covid	-	Quora	7-May-20
How can the global economy be back on its track after covid	-	Quora	7-May-20
What are some covid related travel tips	-	Quora	7-May-20
Can a young and healthy person die from a covid infection	-	Quora	7-May-20
Is covid an economic pandemic	-	Quora	7-May-20
How long will social distancing for covid last	-	Quora	7-May-20
Does nicotine use reduce covid risk	-	Quora	7-May-20
The USA has 5% of the world’s population but about 30% of covid cases despite being the richest nation on the planet Where did it go wrong	-	Quora	7-May-20
How is the novel covid spread	-	Quora	7-May-20
Why are kids not getting covid	-	Quora	7-May-20
If you had SARS would you be immune to covid	-	Quora	7-May-20
How successful was plasma therapy against covid	-	Quora	7-May-20
Did you ever expect you'd be considered an "essential worker" in the USA before the covid outbreak	-	Quora	7-May-20
How can artificial intelligence help with the covid epidemic	-	Quora	7-May-20
How long does covid live on surfaces	-	Quora	7-May-20
What would happen if Donald Trump caught and died from covid	-	Quora	7-May-20
Can you get covid twice or does it cause immunity	-	Quora	7-May-20
How is life before covid and after covid	-	Quora	7-May-20
Is a recession due to the covid inevitable	-	Quora	7-May-20
Why is the WHO renaming the new covid	-	Quora	7-May-20
What is the first thing you would do after the covid quarantine	-	Quora	7-May-20
Why does the USA have more confirmed covid cases than China	-	Quora	7-May-20
What is the most likely exit strategy from the covid lockdown for governments around the world	-	Quora	7-May-20
Which antibiotics can treat the novel covid	-	Quora	7-May-20
What are some investments that can be profitable during the covid pandemic	-	Quora	7-May-20
Would atheists be more likely to get covid	-	Quora	7-May-20
How did the covid virus spread to America so fast	-	Quora	7-May-20
What is a covid recovery process	-	Quora	7-May-20
Can the covid virus spread through drinking water	-	Quora	7-May-20
Does China give correct information to other countries on covid	-	Quora	7-May-20
What do you think of Trump administration’s handling of the covid pandemic crisis	-	Quora	7-May-20
Why does the United States have more death due to covid than any other nations in the world	-	Quora	7-May-20
What if the 21-day lockdown fails and covid continues to spread	-	Quora	7-May-20
Do you think Bitcoin will skyrocket due to covid	-	Quora	7-May-20
What will travel look like after the end of the covid pandemic	-	Quora	7-May-20
How do you compare the covid crisis with the 2008 economic crisis	-	Quora	7-May-20
How are people surviving after contracting the covid	-	Quora	7-May-20
Is it the right time to invest in the stock market as the market is unstable due to the covid fear	-	Quora	7-May-20
What will be the educational impacts of covid	-	Quora	7-May-20
Why are stock markets dipping in response to covid	-	Quora	7-May-20
Do people who recovered from covid infection develop resistance against subsequent infections	-	Quora	7-May-20
Why and how is covid affecting the stock market	-	Quora	7-May-20
How can you find a new job during the covid outbreak	-	Quora	7-May-20
Is it possible to have covid without any symptoms at all	-	Quora	7-May-20
When will life get back to normal after the onset of covid	-	Quora	7-May-20
Is asthma a risk factor for covid	-	Quora	7-May-20
Is there any blessing in disguise from this covid pandemic	-	Quora	7-May-20
Will there be a lot of layoffs in the tech industry due to the covid pandemic	-	Quora	7-May-20
How can you avoid catching covid while travelling	-	Quora	7-May-20
What has happened to the crime rate during covid	-	Quora	7-May-20
Are people being arrested for leaving their homes due to covid	-	Quora	7-May-20
Is there underreporting of covid cases in specific countries or worldwide	-	Quora	7-May-20
What kind of startup idea can be beneficial during covid disease	-	Quora	7-May-20
Is the global economy headed for recession in 2020 because of covid	-	Quora	7-May-20
What advice should we follow against covid	-	Quora	7-May-20
Did the covid develop in a laboratory	-	Quora	7-May-20
Is it possible that life will not return to normal after covid	-	Quora	7-May-20
Will the USA sue China for covid pandemic	-	Quora	7-May-20
What if the covid vaccine is never discovered	-	Quora	7-May-20
How will covid affect a student’s life	-	Quora	7-May-20
Why are people infected with covid reporting that they began to feel better before becoming critically ill	-	Quora	7-May-20
Is it true that covid is steadily declining	-	Quora	7-May-20
Is China still on lock-down due to covid	-	Quora	7-May-20
Do you think covid was injected purposely	-	Quora	7-May-20
Is covid a political tool	-	Quora	7-May-20
Why are Americans the most affected nation in the world by covid	-	Quora	7-May-20
What does the covid look like	-	Quora	7-May-20
Why are some people asymptomatic while others can be highly symptomatic with the covid	-	Quora	7-May-20
Why are children almost immune to covid	-	Quora	7-May-20
Why is covid called a novel virus	-	Quora	7-May-20
Who if anyone could the covid benefit and how	-	Quora	7-May-20
Are we “flattening the curve” of covid successfully	-	Quora	7-May-20
Will the covid be as bad as the 1918 Spanish Flu pandemic that infected 500000000 people	-	Quora	7-May-20
Will the Chinese government be held accountable in any way for the covid virus epidemic	-	Quora	7-May-20
How did the US fail to prevent a covid outbreak	-	Quora	7-May-20
How does Remdesivir work in the body to fight covid	-	Quora	7-May-20
Would Obama handle the covid incident better than Trump	-	Quora	7-May-20
Will the US dollar collapse because of covid	-	Quora	7-May-20
Why is it being advised to not take ibuprofen if one has covid	-	Quora	7-May-20
Is it true that the president has suggested that people inject with disinfectant to cure covid	-	Quora	7-May-20
What are the early symptoms of the covid	-	Quora	7-May-20
What would happen if Trump tests positive for covid	-	Quora	7-May-20
If you were quarantined due to the covid virus what would you do to entertain yourself	-	Quora	7-May-20
Why is the covid fatality rate so high in the US compared to China	-	Quora	7-May-20
What do you think of Trump’s idea to inject disinfectant into your body as a cure for covid	-	Quora	7-May-20
Are companies still hiring workers given the restrictions imposed due to the covid virus outbreak	-	Quora	7-May-20
Are we all going to die of covid	-	Quora	7-May-20
What types of animals are susceptible to covid	-	Quora	7-May-20
What are your best tips for entertaining young kids during the stay at home orders in the time of the covid crisis	-	Quora	7-May-20
What are people’s impressions about President Trump claiming he was “being sarcastic” when musing whether people should inject disinfectant to defeat covid	-	Quora	7-May-20
Why is everybody so worried about the new covid if SARS was more virulent	-	Quora	7-May-20
How does covid affect freelancing	-	Quora	7-May-20
How safe is it visiting a medical clinic/urgent care/hospital for non-covid health issues during the pandemic	-	Quora	7-May-20
Compared to past pandemics how deadly is covid	-	Quora	7-May-20
What are the safety measures taken globally to prevent covid	-	Quora	7-May-20
Is it imperative to be tested for covid	-	Quora	7-May-20
What are some rumors related to covid	-	Quora	7-May-20
Does covid cause irreversible damage to the respiratory system	-	Quora	7-May-20
Who will find the cure against the covid	-	Quora	7-May-20
How can I make sure to not get affected with the novel covid virus	-	Quora	7-May-20
Is covid making us better or worse people	-	Quora	7-May-20
Can covid mutate	-	Quora	7-May-20
Has the covid vaccine been found	-	Quora	7-May-20
How could covid become COVID-20	-	Quora	7-May-20
Is the USA responsible for covid or China	-	Quora	7-May-20
Will convalescent plasma therapy be the answer to covid	-	Quora	7-May-20
Does zinc help protect against covid	-	Quora	7-May-20
What industries will never be the same because of covid	-	Quora	7-May-20
Did Donald Trump really suggest injecting disinfectant to fight covid	-	Quora	7-May-20
If President Trump opens the economy will we see a second wave of covid	-	Quora	7-May-20
Should a girlfriend kiss her boyfriend who has covid	-	Quora	7-May-20
Why are so many people who get the covid asymptomatic	-	Quora	7-May-20
Which countries have the best procedures in place to contain the covid	-	Quora	7-May-20
How do you move your business online during the covid outbreak	-	Quora	7-May-20
Why is Donald Trump accusing China for the spread of covid	-	Quora	7-May-20
Can garlic help you avoid covid	-	Quora	7-May-20
Are reusable grocery bags a bad idea during the covid pandemic	-	Quora	7-May-20
Without a vaccine will the covid outbreak ever end	-	Quora	7-May-20
At what temperature does the covid virus thrive	-	Quora	7-May-20
What happens when I get covid	-	Quora	7-May-20
Are they being honest about covid	-	Quora	7-May-20
How will I know if I have covid if I'm asymptomatic	-	Quora	7-May-20
What is the rate of recovery from the covid virus	-	Quora	7-May-20
Did the Trump administration really "inherit" a faulty or outdated covid test from the Obama administration	-	Quora	7-May-20
Can covid reduce the population of humans on Earth by half	-	Quora	7-May-20
How well prepared are countries for a covid pandemic	-	Quora	7-May-20
What is your routine for the covid holidays	-	Quora	7-May-20
How can I protect my child from a covid infection	-	Quora	7-May-20
How much more susceptible are smokers to succumbing to covid	-	Quora	7-May-20
Who came up with the name covid	-	Quora	7-May-20
What past lesson can help us deal with the current covid pandemic	-	Quora	7-May-20
How should you treat the covid at home	-	Quora	7-May-20
What would be the aftermath of the covid outbreak	-	Quora	7-May-20
Why is the US struggling so much compared to other countries when it comes to testing for covid	-	Quora	7-May-20
Should schools close for covid	-	Quora	7-May-20
What company will produce the vaccine for covid	-	Quora	7-May-20
What is the best way to handle groceries during covid	-	Quora	7-May-20
Did the covid pandemic make you realize anything about yourself that you didn’t already know	-	Quora	7-May-20
Will there be additional stimulus payments for covid	-	Quora	7-May-20
What jobs are the safest in terms of job security during the covid world pandemic	-	Quora	7-May-20
Will you take a mandatory covid vaccine	-	Quora	7-May-20
Do the symptoms for covid come together or can you have separate symptoms showing up at different times	-	Quora	7-May-20
How likely is the covid virus to mutate and when	-	Quora	7-May-20
What are the various steps countries are taking to contain the covid	-	Quora	7-May-20
How do testing kits for covid detect the virus	-	Quora	7-May-20
What would happen if we just let covid run its course and not practice social distancing	-	Quora	7-May-20
Will covid be gone this year	-	Quora	7-May-20
Given the evidence so far will covid most likely go away in the summer	-	Quora	7-May-20
Is covid the beginning of the apocalypse	-	Quora	7-May-20
Is the covid much less threatening than being portrayed in the media	-	Quora	7-May-20
What is the meaning Covid	-	Quora	7-May-20
How has covid affected your job or career so far	-	Quora	7-May-20
What happened to Covid 1-18 and will there be a covid-20	-	Quora	7-May-20
How much of a factor will the covid be in the 2020 presidential election	-	Quora	7-May-20
What is the realistic health impact of covid	-	Quora	7-May-20
Will the world go back to normal after the covid is gone	-	Quora	7-May-20
How come the infection rate of covid is much higher in the U.S. than it is in China even though China is more compact and populous	-	Quora	7-May-20
Is the fear around the covid overblown justified or too early to say	-	Quora	7-May-20
What disinfectants kill the covid virus	-	Quora	7-May-20
What's the most dangerous aspect of covid that isn't talked about	-	Quora	7-May-20
Where are we on the covid curve now	-	Quora	7-May-20
Are we all ready to live with covid	-	Quora	7-May-20
How would e-learning be helpful in covid	-	Quora	7-May-20
What sort of penalty should China pay for causing covid	-	Quora	7-May-20
Have the people who were sickened with covid developed immunity	-	Quora	7-May-20
Should covid patients avoid taking ibuprofen	-	Quora	7-May-20
Will covid ruin small businesses	-	Quora	7-May-20
Is the covid crisis worse than 9/11	-	Quora	7-May-20
Is the Swedish model of herd immunity for the covid virus a better way in the long run	-	Quora	7-May-20
Are certain blood types more resistant to acquiring the covid when exposed than others	-	Quora	7-May-20
How can the world hold China financially liable for the covid global pandemic	-	Quora	7-May-20
Will high temperatures kill covid	-	Quora	7-May-20
Who will be the world superpower at the end of the covid pandemic	-	Quora	7-May-20
Does the covid provoke a fever	-	Quora	7-May-20
Was there a Covid-18	-	Quora	7-May-20
What are your tips for staying productive while staying home during the covid pandemic	-	Quora	7-May-20
Which industries are likely to flourish during the covid pandemic	-	Quora	7-May-20
What is the best thing that has happened to you during the covid lockdown period	-	Quora	7-May-20
What does the "Covid" part of covid stand for	-	Quora	7-May-20
What would happen if the covid did not stop	-	Quora	7-May-20
Why is America ready to reopen before a vaccine is made for covid	-	Quora	7-May-20
Does covid have any neurological symptoms	-	Quora	7-May-20
Has covid changed your opinion on Universal Basic Income	-	Quora	7-May-20
How has covid affected your loved ones	-	Quora	7-May-20
Why is "W.H.O" responsible for the covid impact	-	Quora	7-May-20
How do dogs and cats contract covid	-	Quora	7-May-20
Where's the first place you're going to travel to once covid dies down	-	Quora	7-May-20
Will most airlines go bankrupt after the covid pandemic	-	Quora	7-May-20
How do I prevent getting infected with covid from delivered packages and groceries	-	Quora	7-May-20
Why wouldn't Tamiflu help against covid	-	Quora	7-May-20
Is there reason to believe the covid deaths in China are underreported	-	Quora	7-May-20
What innovations will likely be fueled by the covid crisis	-	Quora	7-May-20
How do we protect ourselves	-	Quora	7-May-20
How will yoga help me protect myself against covid	-	Quora	7-May-20
Why do some people with no underlying health conditions die of covid	-	Quora	7-May-20
What are red orange and green zones in the context of covid containment	-	Quora	7-May-20
Will the College Board push back AP tests because of covid	-	Quora	7-May-20
When will covid reach its peak	-	Quora	7-May-20
What is the impact of covid on the global economy	-	Quora	7-May-20
Should people take covid more seriously	-	Quora	7-May-20
Do chloroquine and azithromycin really work to handle severe cases of covid	-	Quora	7-May-20
How will you react to the arrival of covid	-	Quora	7-May-20
Can Chinese people staying in China share the truth about how many people have been infected by covid	-	Quora	7-May-20
Is covid weaponized	-	Quora	7-May-20
What are 5 things that will never be the same because of covid	-	Quora	7-May-20
Is herd immunity the best way to stop the spread of covid	-	Quora	7-May-20
Why is covid affecting young adults more in America than China	-	Quora	7-May-20
Are kids getting affected by covid	-	Quora	7-May-20
Is covid containable	-	Quora	7-May-20
Regarding recent events has humanity ever experienced a pandemic like the covid	-	Quora	7-May-20
Can you recommend me some interesting books to read during lockdown amid covid	-	Quora	7-May-20
Why can't they take antibodies from people who have recovered from covid to create a vaccine	-	Quora	7-May-20
Is the covid curve flattening	-	Quora	7-May-20
Can we expect new movies after covid	-	Quora	7-May-20
Where should we invest after covid ends	-	Quora	7-May-20
Is it true that 5G spreads the covid	-	Quora	7-May-20
Can fasting help your immune system fight off covid	-	Quora	7-May-20
Will covid eventually end up like HIV	-	Quora	7-May-20
How scared are you about covid	-	Quora	7-May-20
What does the Islamic faith say about covid	-	Quora	7-May-20
Which medicines are used in China for covid treatment	-	Quora	7-May-20
There's already had a cure in China of covid Is it true	-	Quora	7-May-20
Are hydroxychloroquine and azithromycin the best treatment protocol for covid	-	Quora	7-May-20
Has Trump been tested for the covid	-	Quora	7-May-20
How destructive has covid been for the world economy	-	Quora	7-May-20
When will international travel get back to normal following the covid pandemic	-	Quora	7-May-20
What do Trump supporters think of his handling of covid	-	Quora	7-May-20
What will covid economic disruptions mean for climate change	-	Quora	7-May-20
How does immunity play its role to fight covid	-	Quora	7-May-20
What needs to change once the covid pandemic is over	-	Quora	7-May-20
Excepting President Donald Trump as an answer what person or organization is most responsible for the rapid spread of the covid virus pandemic	-	Quora	7-May-20
Which country will be the first to find the cure of covid	-	Quora	7-May-20
Will there be a ban on domestic travel within the USA due to covid	-	Quora	7-May-20
What new skills have you acquired during the covid quarantine/lockdown	-	Quora	7-May-20
Because of the covid pandemic do you wash your groceries	-	Quora	7-May-20
Could you get sick with a mild case of covid and fully recover without even realizing you were ill	-	Quora	7-May-20
Is covid a bringer of karma	-	Quora	7-May-20
Why is Bill Gates so interested in a covid vaccine	-	Quora	7-May-20
How long is someone infectious after recovery from covid symptoms	-	Quora	7-May-20
Is covid killing more liberals or conservatives	-	Quora	7-May-20
Will covid vaccines be effective since a recovered person can contract the virus again	-	Quora	7-May-20
Why is covid so contagious	-	Quora	7-May-20
What damage to the economy will covid cause	-	Quora	7-May-20
Is any disinfectant injection available for covid	-	Quora	7-May-20
Was there a COVID 18 before covid	-	Quora	7-May-20
Is Hantavirus an extension of covid	-	Quora	7-May-20
Why is covid much stronger than previous corona viruses	-	Quora	7-May-20
How has covid impacted you so far	-	Quora	7-May-20
What impact would rain have on covid	-	Quora	7-May-20
Why can't prayer relieve the covid situation	-	Quora	7-May-20
What percent of people have covid	-	Quora	7-May-20
Where does the word covid come from	-	Quora	7-May-20
Will Jesus save the world from covid	-	Quora	7-May-20
How long does the covid virus live for under normal conditions	-	Quora	7-May-20
What is it that is making the stock market even better amid the covid pandemic	-	Quora	7-May-20
Why does covid spread fast in the USA what makes it worse	-	Quora	7-May-20
Has President Trump failed America throughout the covid outbreak	-	Quora	7-May-20
What is the purpose of COVID	-	Quora	7-May-20
Which large restaurant chains will be driven out of business by covid	-	Quora	7-May-20
Did anyone see the covid virus coming	-	Quora	7-May-20
How can people not believe the covid is real	-	Quora	7-May-20
Have you changed any of your plans due to covid	-	Quora	7-May-20
How do I stay positive with covid	-	Quora	7-May-20
Should we buy guns to protect ourselves during the covid outbreak in the USA or rely on the police	-	Quora	7-May-20
How long does covid live on produce	-	Quora	7-May-20
Is covid the Black Death of the 21st century	-	Quora	7-May-20
Can favipiravir (Avigan) be effective for treating the covid	-	Quora	7-May-20
What industries will have a huge boost once covid lockdowns end	-	Quora	7-May-20
Why of all the history of the plagues is covid more complex and deadlier	-	Quora	7-May-20
Is it covid or something else	-	Quora	7-May-20
Will religion make a comeback as a result of covid	-	Quora	7-May-20
Has the WHO been negligent in their response to covid	-	Quora	7-May-20
Will COVID ultimately kill 1000000 in the US	-	Quora	7-May-20
How can we take precaution to stop covid	-	Quora	7-May-20
Is there any way to de-politicize the covid pandemic	-	Quora	7-May-20
Why can't we just let covid play itself out	-	Quora	7-May-20
What widely publicized results or studies about covid do experts believe are inaccurate	-	Quora	7-May-20
Are covid economic stimulus checks taxable	-	Quora	7-May-20
Will covid cause a global economic collapse that is worse than the great recession of 2008	-	Quora	7-May-20
What are some good books to read while you're cooped up in self-quarantine during the covid pandemic	-	Quora	7-May-20
Is covid covered in health insurance	-	Quora	7-May-20
How could the U.S. alter its response to covid to be more successful	-	Quora	7-May-20
How will the covid pandemic benefit society in the long run	-	Quora	7-May-20
Is there some good news regarding covid	-	Quora	7-May-20
Which sectors would create jobs following the covid pandemic	-	Quora	7-May-20
