Question ID,Question,Source,Answers
5,can covid spread through food,data/TSVs/KeywordTool_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,can covid be transmitted through food ,data/TSVs/KeywordTool_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,is it safe to order take out,data/TSVs/John-Hopkins_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,are food products produced in the united states or other countries affected by covid  19 a risk for the spread of covid ,data/TSVs/FDA_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,can i get covid from a food worker handling my food,data/TSVs/FDA_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,can i get the covid from food food packaging or food containers and preparation area,data/TSVs/FDA_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,can i get covid through food,data/TSVs/CNN_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,can i get sick with covid if it is on food,data/TSVs/CDC_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,can the virus that causes covid be spread through food,data/TSVs/CDC_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
5,can food or clothes be contaminated with covid,data/TSVs/Quora_Dataset.tsv,"'according to the food and drug administration (fda), there have not been any cases of covid known to be caused from eating food or handling food packaging.', 'there is no evidence to suggest that food produced in the united states or imported from countries affected by covid can transmit covid. ', 'currently, there is no evidence of food or food packaging being associated with transmission of covid. ', ': currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid. like other viruses, it is possible that the virus that causes covid can survive on surfaces or objects. ', 'theres no evidence that covid can be transmitted through food.', 'based on information about this novel covid thus far, it seems unlikely that covid can be transmitted through food   additional investigation is needed. ', 'currently, there is no evidence to support transmission of covid associated with food. '"
6,can covid live in water,data/TSVs/KeywordTool_Dataset.tsv,'there is no evidence that covid can be spread to humans through the use of pools and hot tubs.'
6,can covid live in water ,data/TSVs/KeywordTool_Dataset.tsv,'there is no evidence that covid can be spread to humans through the use of pools and hot tubs.'
6,can covid spread through water,data/TSVs/CNN_Dataset.tsv,'there is no evidence that covid can be spread to humans through the use of pools and hot tubs.'
6,can the covid virus spread through drinking water,data/TSVs/Quora_Dataset.tsv,'there is no evidence that covid can be spread to humans through the use of pools and hot tubs.'
7,will covid mutate ,data/TSVs/KeywordTool_Dataset.tsv,
7,has covid mutated,data/TSVs/Yahoo_Dataset.tsv,
7,did covid mutate,data/TSVs/Yahoo_Dataset.tsv,
7,can covid mutate,data/TSVs/Quora_Dataset.tsv,
7,is covid mutating,data/TSVs/Yahoo_Dataset.tsv,
7,will covid mutate,data/TSVs/Yahoo_Dataset.tsv,
7,does covid mutate,data/TSVs/KeywordTool_Dataset.tsv,
7,had covid mutated,data/TSVs/Bing_Dataset.tsv,
7,is covid currently mutating,data/TSVs/Quora_Dataset.tsv,
7,how likely is the covid virus to mutate and when,data/TSVs/Quora_Dataset.tsv,
7,what is the rate of mutation in the covid,data/TSVs/Quora_Dataset.tsv,
8,does covid die in freezer,data/TSVs/KeywordTool_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,can covid survive in heat,data/TSVs/KeywordTool_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,does covid survive in freezer,data/TSVs/KeywordTool_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,can covid live in the freezer ,data/TSVs/KeywordTool_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,can covid live in freezer,data/TSVs/Yahoo_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,can covid live in the freezer,data/TSVs/KeywordTool_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,can covid live in heat,data/TSVs/John-Hopkins_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,can high or low temperatures kill covid,data/TSVs/CNN_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,can the heat from a hand dryer kill covid ,data/TSVs/CNN_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,what temperature kills the virus that causes covid,data/TSVs/CDC_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,can covid survive cold,data/TSVs/Bing_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,does covid survive freezing,data/TSVs/Bing_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,does covid die in heat,data/TSVs/Yahoo_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,will high temperatures kill covid,data/TSVs/Quora_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,how long will covid survive on items you put in the freezer,data/TSVs/Quora_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
8,what is the temperature required to kill covid,data/TSVs/Quora_Dataset.tsv,"'several countries currently affected by the new covid outbreak are experiencing summer weather.', 'generally covides survive for shorter periods of time at higher temperatures and higher humidity than in cooler or dryer environments. however, we dont have direct data for this virus, nor do we have direct data for a temperature based cutob for inactivation at this point, ', 'hand dryers cant kill the virus.', 'generally covides survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments.'"
9,can covid be transmitted by mosquitoes ,data/TSVs/KeywordTool_Dataset.tsv,"'no. ', 'at this time, cdc has no data to suggest that this new covid or other similar covides are spread by mosquitoes or ticks. '"
9,can mosquitoes transmit covid,data/TSVs/CNN_Dataset.tsv,"'no. ', 'at this time, cdc has no data to suggest that this new covid or other similar covides are spread by mosquitoes or ticks. '"
9,can mosquitoes or ticks spread the virus that causes covid,data/TSVs/CDC_Dataset.tsv,"'no. ', 'at this time, cdc has no data to suggest that this new covid or other similar covides are spread by mosquitoes or ticks. '"
10,can covid cause a stroke ,data/TSVs/KeywordTool_Dataset.tsv,"'yes, some young adults have subered strokes after getting covid. '"
10,is it true young people with covid are also having blood clots and strokes,data/TSVs/CNN_Dataset.tsv,"'yes, some young adults have subered strokes after getting covid. '"
11,did covid come from a bat,data/TSVs/Yahoo_Dataset.tsv,'bats'
11,where covid really come from,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,did covid come from eating bats,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,did covid come from snakes,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,why covid,data/TSVs/Yahoo_Dataset.tsv,'bats'
11,did covid come from bats,data/TSVs/Yahoo_Dataset.tsv,'bats'
11,did covid come from animals,data/TSVs/Yahoo_Dataset.tsv,'bats'
11,where covid came from,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,did covid start with bats,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,where covid come from,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,where covid started,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,did covid start with bats ,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,why covid happened,data/TSVs/KeywordTool_Dataset.tsv,'bats'
11,in what species did the covid virus likely originate,data/TSVs/COVID-QA_Dataset.tsv,'bats'
11,did covid start with a bat,data/TSVs/Yahoo_Dataset.tsv,'bats'
11,how covid started,data/TSVs/Yahoo_Dataset.tsv,'bats'
11,what is the true origin of the covid virus and is the wuhan bat snacking hypothesis credible,data/TSVs/Quora_Dataset.tsv,'bats'
11,did covid really originate from the province of china or just get discovered there,data/TSVs/Quora_Dataset.tsv,'bats'
12,was covid created,data/TSVs/KeywordTool_Dataset.tsv,
12,was covid created ,data/TSVs/KeywordTool_Dataset.tsv,
12,did covid come from a lab,data/TSVs/KeywordTool_Dataset.tsv,
12,was covid made in a lab,data/TSVs/KeywordTool_Dataset.tsv,
12,was covid man made,data/TSVs/Yahoo_Dataset.tsv,
12,did covid start in a lab,data/TSVs/Bing_Dataset.tsv,
12,was covid engineered,data/TSVs/Yahoo_Dataset.tsv,
12,was covid manufactured,data/TSVs/Yahoo_Dataset.tsv,
12,is covid man made,data/TSVs/Yahoo_Dataset.tsv,
12,is covid a bioweapon,data/TSVs/Yahoo_Dataset.tsv,
12,was covid created in a lab,data/TSVs/Quora_Dataset.tsv,
12,was covid weaponized,data/TSVs/Yahoo_Dataset.tsv,
12,did covid escape from a research lab,data/TSVs/Yahoo_Dataset.tsv,
12,was covid a bio weapon,data/TSVs/Yahoo_Dataset.tsv,
12,is covid bioterrorism,data/TSVs/Yahoo-Answers_Dataset.tsv,
12,for the sake of discussion what do you think the chances are of covid being a biologically engineered weapon,data/TSVs/Quora_Dataset.tsv,
12,did the covid develop in a laboratory,data/TSVs/Quora_Dataset.tsv,
12,is covid weaponized,data/TSVs/Quora_Dataset.tsv,
12,how likely is it that the covid virus was created by the chinese as a biological weapon,data/TSVs/Quora_Dataset.tsv,
12,is covid bio engineered,data/TSVs/Quora_Dataset.tsv,
12,how was covid created,data/TSVs/Quora_Dataset.tsv,
12,is covid a man made virus,data/TSVs/Quora_Dataset.tsv,
13,do covid symptoms linger ,data/TSVs/KeywordTool_Dataset.tsv,
14,do covid toes itch ,data/TSVs/KeywordTool_Dataset.tsv,
15,do covid antibodies mean immunity,data/TSVs/KeywordTool_Dataset.tsv,"'not necessarily. antibodies are a bodys response to bacteria or viruses. but this novel covid is so new, its still not clear whether having antibodies to it means you have long term protection from getting reinfected. '"
15,do covid antibodies provide immunity,data/TSVs/KeywordTool_Dataset.tsv,"'not necessarily. antibodies are a bodys response to bacteria or viruses. but this novel covid is so new, its still not clear whether having antibodies to it means you have long term protection from getting reinfected. '"
15,who covid immunity ,data/TSVs/KeywordTool_Dataset.tsv,"'not necessarily. antibodies are a bodys response to bacteria or viruses. but this novel covid is so new, its still not clear whether having antibodies to it means you have long term protection from getting reinfected. '"
15,who covid immunity,data/TSVs/KeywordTool_Dataset.tsv,"'not necessarily. antibodies are a bodys response to bacteria or viruses. but this novel covid is so new, its still not clear whether having antibodies to it means you have long term protection from getting reinfected. '"
15,do covid antibodies confer immunity,data/TSVs/KeywordTool_Dataset.tsv,"'not necessarily. antibodies are a bodys response to bacteria or viruses. but this novel covid is so new, its still not clear whether having antibodies to it means you have long term protection from getting reinfected. '"
15,will an antibody test show whether im immune and can go back to work,data/TSVs/CNN_Dataset.tsv,"'not necessarily. antibodies are a bodys response to bacteria or viruses. but this novel covid is so new, its still not clear whether having antibodies to it means you have long term protection from getting reinfected. '"
15,why cant they take antibodies from people who have recovered from covid to create a vaccine,data/TSVs/Quora_Dataset.tsv,"'not necessarily. antibodies are a bodys response to bacteria or viruses. but this novel covid is so new, its still not clear whether having antibodies to it means you have long term protection from getting reinfected. '"
16,do covid deaths have to be cremated ,data/TSVs/KeywordTool_Dataset.tsv,
17,what covid symptoms,data/TSVs/KeywordTool_Dataset.tsv,"'people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure.', 'cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat', 'fever and cough ', 'patients with underlying medical conditions and the elderly', 'the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell.'"
17,who covid symptoms,data/TSVs/KeywordTool_Dataset.tsv,"'people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure.', 'cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat', 'fever and cough ', 'patients with underlying medical conditions and the elderly', 'the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell.'"
17,who covid symptoms ,data/TSVs/KeywordTool_Dataset.tsv,"'people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure.', 'cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat', 'fever and cough ', 'patients with underlying medical conditions and the elderly', 'the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell.'"
17,what are the symptoms of covid 2019,data/TSVs/IDPH_Dataset.tsv,"'people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure.', 'cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat', 'fever and cough ', 'patients with underlying medical conditions and the elderly', 'the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell.'"
17,what are the symptoms and complications that covid can cause,data/TSVs/CDC_Dataset.tsv,"'people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure.', 'cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat', 'fever and cough ', 'patients with underlying medical conditions and the elderly', 'the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell.'"
17,what are the most common symptoms of covid,data/TSVs/COVID-QA_Dataset.tsv,"'people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure.', 'cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat', 'fever and cough ', 'patients with underlying medical conditions and the elderly', 'the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell.'"
17,what symptoms might people experience with covid,data/TSVs/COVID-QA_Dataset.tsv,"'people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure.', 'cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat', 'fever and cough ', 'patients with underlying medical conditions and the elderly', 'the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell.'"
17,what are the symptoms of covid,data/TSVs/Quora_Dataset.tsv,"'people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure.', 'cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat', 'fever and cough ', 'patients with underlying medical conditions and the elderly', 'the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell.'"
